segment,covariate,lineage,celltype,analysis_type,n_categories_tested,categories_tested,n_samples,n_donors,n_datasets,omega_squared,kruskal_p_value,highest_median_pct_category,highest_median_within_lineage_pct,lowest_median_pct_category,lowest_median_within_lineage_pct,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,spearman_age_rho,spearman_age_p_value,kruskal_fdr_within_segment_covariate,spearman_age_fdr_within_segment_covariate
duodenum,age_range,epithelial,BEST4 Enterocytes,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Brunners Gland Cells,descriptive,2,40-49 | 60-69,4,3,3,0.0,,60-69,2.941176470588235,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Colonocyte Progenitors,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Crypt Top Colonocytes,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,EEC Enterochromaffin (EC),descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,EEC L,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,EEC N,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,EEC Progenitors,descriptive,2,40-49 | 60-69,4,3,3,0.0,,60-69,50.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,EEC S,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Enterocyte Progenitors,descriptive,2,40-49 | 60-69,4,3,3,0.0,,60-69,6.862745098039216,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Enteroendocrine Cells (EEC),descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Epithelial,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Foveolar Cells,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Goblet Cells,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Intestinal Stem Cells (ISC),descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Lower Crypt Colonocytes,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Lower Villus Enterocytes,descriptive,2,40-49 | 60-69,4,3,3,0.0,,60-69,11.76470588235294,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Mature Goblet Cells,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Microfold Cells (M Cells),descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Mid Crypt Colonocytes,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Mid Villus Enterocytes,descriptive,2,40-49 | 60-69,4,3,3,0.0,,60-69,27.450980392156865,40-49,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Paneth Cells,descriptive,2,40-49 | 60-69,4,3,3,0.144138255971181,,40-49,50.0,60-69,0.0,2,0,False,,,,
duodenum,age_range,epithelial,Secretory Progenitors,descriptive,2,40-49 | 60-69,4,3,3,3.831364980536568e-17,,40-49,0.0,40-49,0.0,2,0,False,,,,
