segment,covariate,category_A,category_B,contrast,lineage,celltype,analysis_type,n_samples_A,n_samples_B,n_donors_A,n_donors_B,n_datasets_A,n_datasets_B,mean_clr_A,mean_clr_B,delta_clr_B_minus_A,median_within_lineage_pct_A,median_within_lineage_pct_B,delta_median_pct_B_minus_A,mannwhitney_p_value,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,mannwhitney_fdr_within_segment_covariate_contrast
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,EEC N,descriptive,2,2,2,1,1,1,0.15352942159720717,-0.25201985750350864,-0.4055492791007158,0.8333333333333334,0.0,-0.8333333333333334,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,EEC N,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,EEC Progenitors,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,EEC Progenitors,descriptive,2,2,2,1,1,1,-0.3957767227368476,0.29728628683054636,0.693063009567394,0.0,50.0,50.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,EEC Progenitors,descriptive,2,2,2,1,1,1,-0.039236153166716914,0.29728628683054636,0.3365224399972633,0.0,50.0,50.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,EEC S,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,EEC S,descriptive,2,2,2,1,1,1,-0.3957767227368476,-0.25201985750350864,0.14375686523333897,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,EEC S,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Enterocyte Progenitors,descriptive,2,2,2,2,1,1,0.4089422334802024,-0.039236153166716914,-0.44817838664691934,1.6666666666666667,0.0,-1.6666666666666667,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Enterocyte Progenitors,descriptive,2,2,2,1,1,1,0.4089422334802024,1.1020052430475964,0.693063009567394,1.6666666666666667,6.862745098039216,5.196078431372549,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Enterocyte Progenitors,descriptive,2,2,2,1,1,1,-0.039236153166716914,1.1020052430475964,1.1412413962143133,0.0,6.862745098039216,6.862745098039216,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Enteroendocrine Cells (EEC),descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Enteroendocrine Cells (EEC),descriptive,2,2,2,1,1,1,-0.3957767227368476,-0.25201985750350864,0.14375686523333897,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Enteroendocrine Cells (EEC),descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Epithelial,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Epithelial,descriptive,2,2,2,1,1,1,-0.3957767227368476,-0.25201985750350864,0.14375686523333897,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Epithelial,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Foveolar Cells,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Foveolar Cells,descriptive,2,2,2,1,1,1,-0.3957767227368476,-0.25201985750350864,0.14375686523333897,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Foveolar Cells,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Goblet Cells,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Goblet Cells,descriptive,2,2,2,1,1,1,-0.3957767227368476,-0.25201985750350864,0.14375686523333897,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Goblet Cells,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Intestinal Stem Cells (ISC),descriptive,2,2,2,2,1,1,0.9582483778142572,-0.039236153166716914,-0.9974845309809741,5.833333333333333,0.0,-5.833333333333333,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Intestinal Stem Cells (ISC),descriptive,2,2,2,1,1,1,0.9582483778142572,-0.25201985750350864,-1.2102682353177658,5.833333333333333,0.0,-5.833333333333333,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Intestinal Stem Cells (ISC),descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Lower Crypt Colonocytes,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Lower Crypt Colonocytes,descriptive,2,2,2,1,1,1,-0.3957767227368476,-0.25201985750350864,0.14375686523333897,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Lower Crypt Colonocytes,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Lower Villus Enterocytes,descriptive,2,2,2,2,1,1,1.6257489111804273,-0.039236153166716914,-1.6649850643471442,23.333333333333332,0.0,-23.333333333333332,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Lower Villus Enterocytes,descriptive,2,2,2,1,1,1,1.6257489111804273,1.3574180549305916,-0.26833085624983566,23.333333333333332,11.76470588235294,-11.568627450980392,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Lower Villus Enterocytes,descriptive,2,2,2,1,1,1,-0.039236153166716914,1.3574180549305916,1.3966542080973086,0.0,11.76470588235294,11.76470588235294,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Mature Goblet Cells,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Mature Goblet Cells,descriptive,2,2,2,1,1,1,-0.3957767227368476,-0.25201985750350864,0.14375686523333897,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Mature Goblet Cells,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Microfold Cells (M Cells),descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Microfold Cells (M Cells),descriptive,2,2,2,1,1,1,-0.3957767227368476,-0.25201985750350864,0.14375686523333897,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Microfold Cells (M Cells),descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Mid Crypt Colonocytes,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Mid Crypt Colonocytes,descriptive,2,2,2,1,1,1,-0.3957767227368476,-0.25201985750350864,0.14375686523333897,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Mid Crypt Colonocytes,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Mid Villus Enterocytes,descriptive,2,2,2,2,1,1,1.0764427668463725,-0.039236153166716914,-1.1156789200130894,7.5,0.0,-7.5,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Mid Villus Enterocytes,descriptive,2,2,2,1,1,1,1.0764427668463725,1.7695057764137663,0.6930630095673938,7.5,27.450980392156865,19.950980392156865,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Mid Villus Enterocytes,descriptive,2,2,2,1,1,1,-0.039236153166716914,1.7695057764137663,1.8087419295804832,0.0,27.450980392156865,27.450980392156865,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Paneth Cells,descriptive,2,2,2,2,1,1,0.1535294215972074,-0.039236153166716914,-0.1927655747639243,50.0,0.0,-50.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Paneth Cells,descriptive,2,2,2,1,1,1,0.1535294215972074,-0.25201985750350864,-0.40554927910071603,50.0,0.0,-50.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Paneth Cells,descriptive,2,2,2,1,1,1,-0.039236153166716914,-0.25201985750350864,-0.21278370433679172,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Secretory Progenitors,descriptive,2,2,2,2,1,1,-0.3957767227368476,-0.039236153166716914,0.3565405695701307,0.0,0.0,0.0,,0,0,False,
