celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
Plasma IGA,lymphoid,False,38,2,0.027632596595706316,-0.5121989778905045,-0.5398315744862108,,,,descriptive
Villus Tip Enterocytes,epithelial,False,3,4,2.7245275651109204,1.825861889989369,-0.8986656751215514,,,,descriptive
Secretory Progenitors,epithelial,False,3,4,0.7111773621718305,-0.22896963348715393,-0.9401469956589844,,,,descriptive
Enterocyte Progenitors,epithelial,False,3,4,1.9800648587619367,1.0019363457895025,-0.9781285129724342,,,,descriptive
CD8 Effector Memory,lymphoid,False,38,2,1.5194801152182411,0.29251997832654575,-1.2269601368916954,,,,descriptive
NKT Cells,lymphoid,False,38,2,2.2393931746520717,0.9329869010575784,-1.3064062735944932,,,,descriptive
M0 Macrophages,myeloid,False,31,3,1.9579812382750488,0.43104548780250695,-1.5269357504725418,,,,descriptive
Tuft Cells,epithelial,False,3,4,0.9567847768593661,-0.748830018907113,-1.7056147957664791,,,,descriptive
NK Cells,lymphoid,False,38,2,1.5606089649361876,-0.16562538761053158,-1.7262343525467192,,,,descriptive
CD8 Circulating Effector Memory,lymphoid,False,38,2,1.3605990567327184,-0.5121989778905045,-1.872798034623223,,,,descriptive
CD4 Memory,lymphoid,False,38,2,3.416577720839151,1.4234015275634413,-1.9931761932757095,,,,descriptive
CD8 TRM,lymphoid,False,38,2,4.800839876669065,2.403742260751254,-2.397097615917811,,,,descriptive
Goblet Cells,epithelial,False,3,4,2.1881162951196016,-0.30089015160009913,-2.4890064467197006,,,,descriptive
Intestinal Stem Cells (ISC),epithelial,False,3,4,2.930129045712792,0.045683438679873456,-2.8844456070329185,,,,descriptive
Mast Cells,myeloid,False,31,3,3.344931623825997,0.43104548780250695,-2.91388613602349,,,,descriptive
CD4 Th17,lymphoid,False,38,2,3.2439020798030054,0.18094820266944112,-3.0629538771335643,,,,descriptive
