celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
Monocyte Derived Dendritic Cells (MO DC),myeloid,False,191,12,-0.5939318182050534,-0.23778671213033623,0.35614510607471717,0.07918000902647251,0.1908441243202158,0.719321206501307,inferential
Nonclassical Monocytes,myeloid,False,191,12,-0.7879131827214336,-0.4463913611683526,0.34152182155308103,0.08918082391429487,0.20957493619859294,0.6786606573825502,inferential
Goblet Cells,epithelial,False,214,11,1.7969621812456051,1.0735235749765975,-0.7234386062690077,0.10482482330271062,0.2361581288971193,0.6267971007991059,inferential
Follicle Associated Resident Macrophages,myeloid,True,191,12,-0.04944125485118571,-0.5565376811668793,-0.5070964263156936,0.10551746184764904,0.2361581288971193,0.6267971007991059,inferential
Pre Venule Capillary Endothelial (PVC),stroma,False,105,12,-0.6591086560483832,-0.44411704051342005,0.21499161553496315,0.1678848782739707,0.3670041525058894,0.4353290218509315,inferential
Fibroblastic Reticular Cells (FRC),stroma,True,105,12,-0.6006788806141582,-0.9160304138580825,-0.3153515332439243,0.1851285352715274,0.395501870807354,0.40285145785685095,inferential
Marginal Reticular Cells (MRC),stroma,True,105,12,-0.5235663857653614,-0.9160304138580825,-0.3924640280927211,0.19115815498023236,0.39930814595870756,0.3986918300289759,inferential
NK Cells,lymphoid,False,219,15,-0.018643012411977803,-0.3189925647902784,-0.3003495523783006,0.21571805850486903,0.4315470106472308,0.36497188742824527,inferential
GC B Light Zone (GC B LZ),lymphoid,True,219,15,-0.4012972777703727,0.12262740567862404,0.5239246834489968,0.21718354508814997,0.4315470106472308,0.36497188742824527,inferential
NKT Cells,lymphoid,False,219,15,0.561279146218193,0.9616406930837587,0.4003615468655657,0.2231170852625165,0.4315470106472308,0.36497188742824527,inferential
Lower Crypt Colonocytes,epithelial,False,214,11,-1.032160790561237,-0.9091889191049828,0.12297187145625432,0.22495535661398203,0.4315470106472308,0.36497188742824527,inferential
CD4 Tfh,lymphoid,True,219,15,0.6098384528610756,0.29817378273004713,-0.3116646701310285,0.24639853163441094,0.46322923947269257,0.33420403533229626,inferential
Intestinal Stem Cells (ISC),epithelial,False,214,11,1.2023166254345241,1.661420868796119,0.45910424336159483,0.25139592952582435,0.46335720343975473,0.3340840809652624,inferential
Villus Tip Enterocytes,epithelial,False,214,11,2.520959256354911,1.905785976467714,-0.6151732798871969,0.2674427100963579,0.48345412978957003,0.31564472556093,inferential
Lower Villus Enterocytes,epithelial,False,214,11,1.8242776409910917,1.539958895856835,-0.2843187451342566,0.2993953758305421,0.5154873601344856,0.2877819792478658,inferential
CD8 TRM,lymphoid,False,219,15,2.1667377795344773,1.7651639569540327,-0.4015738225804446,0.3016149447595394,0.5154873601344856,0.2877819792478658,inferential
CD8 IEL,lymphoid,False,219,15,0.3334365697972533,0.6095116298038332,0.27607506000657994,0.3016149447595394,0.5154873601344856,0.2877819792478658,inferential
cDC2,myeloid,False,191,12,1.3250678033288368,1.0809145909891422,-0.24415321233969456,0.3170326524655791,0.5321619523529364,0.2739561791530138,inferential
Tolerogenic cDC2,myeloid,False,191,12,-0.4194101718072515,-0.6720622112602035,-0.252652039452952,0.33958197544633983,0.5577744421912387,0.2535413894418023,inferential
EEC S,epithelial,False,214,11,-1.0534428677724448,-0.9460493834784522,0.10739348429399254,0.34581183654118575,0.5577744421912387,0.2535413894418023,inferential
ILC3,lymphoid,False,219,15,-0.3957772016637713,-0.6543550928831074,-0.25857789121933616,0.3500924690349264,0.5577744421912387,0.2535413894418023,inferential
Foveolar Cells,epithelial,False,214,11,-1.3222619380667773,-1.1981029036820687,0.12415903438470854,0.3913034618236232,0.613042090190343,0.21250970670527763,inferential
Brunners Gland Cells,epithelial,False,214,11,-1.3125449215168714,-1.1981029036820687,0.11444201783480268,0.41535178012770424,0.6224041120345247,0.20592754675743521,inferential
pDC,myeloid,False,191,12,-0.72483743604419,-0.9129265244182171,-0.18808908837402705,0.4161532772373233,0.6224041120345247,0.20592754675743521,inferential
Microfold Cells (M Cells),epithelial,False,214,11,-1.0361059765291716,-1.0352156792067908,0.0008902973223807731,0.4208120738702653,0.6224041120345247,0.20592754675743521,inferential
GC B Dark Zone (GC B DZ),lymphoid,True,219,15,-0.2615662246302622,-0.15462452463180934,0.10694169999845285,0.4257897490989937,0.6224041120345247,0.20592754675743521,inferential
MAIT Cells,lymphoid,False,219,15,-0.8431906150706516,-0.6540581361931487,0.18913247887750295,0.4303858221515331,0.6224041120345247,0.20592754675743521,inferential
Mast Cells,myeloid,False,191,12,0.4362890743686605,0.22220159091093653,-0.21408748345772396,0.44577705271354306,0.6348945902283795,0.19729837342017081,inferential
EEC L,epithelial,False,214,11,-0.7988071420418609,-0.9983552148333217,-0.1995480727914608,0.4630870524474032,0.6497042228366553,0.18728431047228353,inferential
CD4 Naive,lymphoid,False,219,15,0.022819432696368297,-0.3690129377502713,-0.39183237044663954,0.5128018172114895,0.7088731002629414,0.14943150358734453,inferential
Crypt Top Colonocytes,epithelial,False,214,11,-1.160932568498829,-1.1350895236311649,0.02584304486766409,0.5639091609229101,0.7666512338224016,0.11540216104976206,inferential
Mid Crypt Colonocytes,epithelial,False,214,11,-1.1525223021643392,-1.1350895236311649,0.017432778533174265,0.5735732423704418,0.7666512338224016,0.11540216104976206,inferential
Homeostatic Macrophages,myeloid,False,191,12,1.1793750490120742,1.0596234747044506,-0.11975157430762362,0.5790663574616013,0.7666512338224016,0.11540216104976206,inferential
Memory B,lymphoid,False,219,15,1.2789097299169498,1.1554403751857067,-0.1234693547312431,0.6361283105364813,0.8305008498670728,0.08065991879068275,inferential
Medullary Sinus Endothelial,stroma,True,105,12,0.3491878541817484,0.5521280476262297,0.20294019344448128,0.6565335768698275,0.8345635107921104,0.07854060765218802,inferential
Colonocyte Progenitors,epithelial,False,214,11,-1.160247725133932,-1.1981029036820687,-0.03785517854813669,0.6569968063682572,0.8345635107921104,0.07854060765218802,inferential
Plasma Cells,lymphoid,False,219,15,0.2089062204355935,0.010370183293966306,-0.1985360371416272,0.6702484390542494,0.8400447102813259,0.07569759856702146,inferential
Mature Goblet Cells,epithelial,False,214,11,1.3827193560415185,1.168105665709937,-0.21461369033158162,0.6812060405376308,0.8425443132965434,0.07440724830343368,inferential
BEST4 Colonocytes,epithelial,False,214,11,-1.1175951552108696,-1.1350895236311649,-0.01749436842029528,0.7128181517238532,0.8529139606538317,0.06909477691912257,inferential
