celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj
Muscularis Propria Fibroblasts,stroma,False,21,9,-0.03498826171111481,-0.20216201202683381,-0.16717375031571902,0.09199245813735109,0.21618227662277506,0.6651799139000122
Smooth Muscle Cells (SMC),stroma,False,21,9,-0.1276506497613678,-0.32423004410106826,-0.19657939433970045,0.09441015425338123,0.21645254877604475,0.6646372959083219
CD4 tTreg,lymphoid,False,36,11,-0.3887327588828975,-0.06643224849722863,0.32230051038566887,0.10504814414355422,0.23510775117843088,0.6287330525486926
Mid Villus Enterocytes,epithelial,False,70,17,0.23280154571361109,0.44089216546003257,0.20809061974642148,0.11834946227779419,0.25840285313389544,0.5877026954236014
Crypt Top Colonocytes,epithelial,False,70,17,-0.08113337202582575,0.011293927151985498,0.09242729917781126,0.12095452699884467,0.25840285313389544,0.5877026954236014
Intestinal Stem Cells (ISC),epithelial,False,70,17,0.006299448244902088,-0.0026112950870868677,-0.008910743331988956,0.12813207255792755,0.26765366267655977,0.5724268091857051
CD4 Naive,lymphoid,False,36,11,-0.19380015942297285,0.20304872856815068,0.3968488879911235,0.1348596741163345,0.27321052365467957,0.5635025763040705
Lower Villus Enterocytes,epithelial,False,70,17,0.16576373655808738,0.3130038031120699,0.1472400665539825,0.13660526182733979,0.27321052365467957,0.5635025763040705
CD4 Memory,lymphoid,False,36,11,0.5575455118429057,0.1183616191131558,-0.4391838927297499,0.14154000478193599,0.2771825093646247,0.5572341778339889
NK Cells,lymphoid,False,36,11,-0.020499053729436834,-0.4430808599873679,-0.42258180625793107,0.14847172521295424,0.27914890907278206,0.5541640650537334
Plasma IGG,lymphoid,False,36,11,-0.42322479033591925,-0.1434593267142472,0.2797654636216721,0.1484834622727564,0.27914890907278206,0.5541640650537334
CD4 Th17,lymphoid,False,36,11,0.7007861350636043,0.4524534674911621,-0.2483326675724422,0.18706788838913213,0.3447917942858514,0.46244307851664257
Lower Crypt Colonocytes,epithelial,False,70,17,0.03030867206592904,0.1811435446882841,0.15083487262235507,0.21244566196171333,0.38403638893078945,0.4156276226035664
Brunners Gland Cells,epithelial,False,70,17,-0.12943329594503483,-0.017394496750669605,0.11203879919436523,0.22900490125510775,0.4061596361883043,0.39130323861635924
CD8 Effector Memory,lymphoid,False,36,11,-0.10180020477603555,0.1287114646407227,0.23051166941675824,0.25287429732192346,0.432867766610829,0.36364475261198775
Epithelial,epithelial,False,70,17,-0.12103634358929029,-0.03265986119096866,0.08837648239832163,0.25327369322974036,0.432867766610829,0.36364475261198775
CD8 Memory Exhausted,lymphoid,False,36,11,-0.45190458161824043,-0.4430808599873679,0.008823721630872527,0.2970050390527589,0.4964004523369335,0.3041678314292613
M0 Macrophages,myeloid,False,31,8,0.2168472586261257,-0.08326443294737612,-0.3001116915735018,0.301008784927715,0.4964004523369335,0.3041678314292613
Pre Venule Capillary Endothelial (PVC),stroma,False,21,9,-0.07533577887241022,-0.20216201202683384,-0.12682623315442362,0.32922741361834273,0.5335754634504175,0.27280414973074246
MAIT Cells,lymphoid,False,36,11,-0.4537417983544778,-0.3432070155629943,0.11053478279148349,0.3723393261346861,0.5912149958218231,0.22825455884855794
Post Arteriole Capillary Endothelial (PAC),stroma,False,21,9,0.1582487343865626,-0.023335577311933847,-0.18158431169849643,0.3773712739288233,0.5912149958218231,0.22825455884855794
Myofibroblasts,stroma,False,21,9,-0.07533577887241022,-0.14540360938616825,-0.07006783051375803,0.40299198791085133,0.617853707219778,0.20911434314463415
Gamma Delta T Cells,lymphoid,False,36,11,-0.42463156069199576,-0.4430808599873679,-0.018449299295372146,0.41409344207282994,0.617853707219778,0.20911434314463415
GC B Light Zone (GC B LZ),lymphoid,True,36,11,0.3251147339640546,-0.019993555427593138,-0.3451082893916477,0.41409344207282994,0.617853707219778,0.20911434314463415
CD4 Tfr,lymphoid,True,36,11,-0.36035355756256465,-0.4430808599873679,-0.08272730242480325,0.42860461811363637,0.6295130328544034,0.2009952742325924
Mid Crypt Colonocytes,epithelial,False,70,17,-0.12943329594503483,0.2998395023542461,0.42927279829928094,0.4583722601482766,0.6628768069836615,0.17856717599713962
GC B Dark Zone (GC B DZ),lymphoid,True,36,11,0.349474381259177,-0.008615087886319856,-0.3580894691454969,0.4738722027658737,0.6648356277610766,0.17728571526870718
Naive B,lymphoid,False,36,11,0.25679828706858465,-0.09702063364461164,-0.3538189207131963,0.4738722027658737,0.6648356277610766,0.17728571526870718
Adipocytes,stroma,False,21,9,-0.1276506497613678,-0.023335577311933847,0.10431507244943396,0.48586035742022826,0.6716304940809037,0.1728695937870905
Follicle Associated Resident Macrophages,myeloid,True,31,8,0.18392264233067127,-0.08326443294737612,-0.2671870752780474,0.4935313166556319,0.6723470110960782,0.17240652143035307
Lamina propria Fibroblasts (S1),stroma,False,21,9,0.2835386943849475,0.27556581162312643,-0.007972882761821065,0.5156983940653587,0.6877819011186909,0.16254925676015372
Memory B,lymphoid,False,36,11,0.514937227382616,0.17975413342115407,-0.33518309396146195,0.5216619198586185,0.6877819011186909,0.16254925676015372
BEST4 Enterocytes,epithelial,False,70,17,0.07218259005777222,0.2246964897124306,0.1525138996546584,0.526811668941976,0.6877819011186909,0.16254925676015372
BEST4 Colonocytes,epithelial,False,70,17,0.11985515897974905,0.3011996445554728,0.18134448557572377,0.563804472090611,0.725994799678321,0.13906649015265837
cDC2,myeloid,False,31,8,0.11951767839924968,0.05406210313613763,-0.06545557526311205,0.604018362423298,0.7444132164700593,0.1281859249165211
CD8 IEL,lymphoid,False,36,11,0.5135453603191955,0.7772343645751548,0.2636890042559593,0.6241149561615238,0.7444132164700593,0.1281859249165211
pDC,myeloid,False,31,8,-0.11606845228580837,-0.08326443294737612,0.032804019338432244,0.6256238734163265,0.7444132164700593,0.1281859249165211
Nonclassical Monocytes,myeloid,False,31,8,-0.08873626324105986,-0.08326443294737612,0.005471830293683741,0.6256238734163265,0.7444132164700593,0.1281859249165211
migDC,myeloid,False,31,8,-0.11606845228580835,-0.08326443294737612,0.03280401933843223,0.6256238734163265,0.7444132164700593,0.1281859249165211
Tolerogenic cDC2,myeloid,False,31,8,-0.11606845228580837,-0.08326443294737612,0.032804019338432244,0.6256238734163265,0.7444132164700593,0.1281859249165211
CD4 pTreg,lymphoid,False,36,11,-0.32049009852675014,-0.2661799373459758,0.05431016118077436,0.6420050817569899,0.7502993286392056,0.12476544215228584
Cycling Macrophages,myeloid,False,31,8,0.025687972058463886,0.05406210313613763,0.028374131077673743,0.6465345278699537,0.7502993286392056,0.12476544215228584
CD8 Naive,lymphoid,False,36,11,-0.4567477312611509,-0.4430808599873679,0.013666871273783021,0.6601054262951298,0.7567062203871,0.1210726959667671
Mast Cells,myeloid,False,31,8,0.10594565968186412,-0.08326443294737612,-0.18921009262924024,0.6819290388772444,0.7631325090536079,0.1174000453292219
Classical Monocytes,myeloid,False,31,8,0.006727111900330979,-0.08326443294737612,-0.0899915448477071,0.6819481995798198,0.7631325090536079,0.1174000453292219
ILC3,lymphoid,False,36,11,-0.26009837186243445,-0.3432070155629943,-0.08310864370055987,0.7155751044243595,0.7913418801869386,0.10163584949707127
CD4 Tfh,lymphoid,True,36,11,-0.06398580546909914,0.03628273624569993,0.10026854171479907,0.7534301095324633,0.8235166313494366,0.08432762560126839
Homeostatic Macrophages,myeloid,False,31,8,-0.028711994185737093,0.05406210313613763,0.08277409732187473,0.773262288967739,0.8354787949766376,0.0780645683217594
CD8 Circulating Effector Memory,lymphoid,False,36,11,0.0682080568614908,-0.04358548228987358,-0.11179353915136438,0.7918873611087639,0.8458796811843614,0.07269140707190123
Plasma Cells,lymphoid,False,36,11,0.019595445934483147,-0.24333317113862077,-0.2629286170731039,0.8113141846595083,0.8568936332358852,0.06707308398773641
Monocyte Derived Dendritic Cells (MO DC),myeloid,False,31,8,0.061127078144531964,-0.08326443294737612,-0.1443915110919081,0.8413037033399616,0.8786949790439599,0.05616185519624898
Transiently Amplifying Cells (TA),epithelial,False,70,17,0.15498493855322132,0.42655757248674775,0.27157263393352643,0.8518543233703396,0.8799374329319991,0.05554820682528203
Eosinophils,myeloid,False,31,8,0.023205357828266156,-0.08326443294737612,-0.10646979077564228,0.9082798035713888,0.928025016692506,0.032440316383431776
Medullary Sinus Endothelial,stroma,True,21,9,-0.07533577887241022,0.041974052121634936,0.11730983099404516,1.0,1.0,-0.0
cDC1,myeloid,False,31,8,-0.009751134027604198,-0.08326443294737612,-0.07351329891977193,1.0,1.0,-0.0
