celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
Fibroblastic Reticular Cells (FRC),stroma,True,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Crypt Top Fibroblasts (S2B),stroma,False,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Capillary Endothelial,stroma,False,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Angiogenic Pericytes,stroma,False,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Adipocytes,stroma,False,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Smooth Muscle Cells (SMC),stroma,False,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Secretory Pericytes,stroma,False,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Myofibroblasts,stroma,False,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Glia,stroma,False,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),stroma,True,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Muscularis Propria Fibroblasts,stroma,False,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Interstitial Cells of Cajal (ICC),stroma,False,2,3,-0.25582697469585014,-0.3106728154996528,-0.05484584080380267,,,,descriptive
Enterocyte Progenitors,epithelial,False,5,4,2.3843809188626075,2.306702385695895,-0.0776785331667127,,,,descriptive
Naive B,lymphoid,False,2,2,-0.5230571415702134,-0.6137208179101519,-0.09066367633993844,,,,descriptive
CD4 tTreg,lymphoid,False,2,2,-0.4986620594854978,-0.6137208179101519,-0.11505875842465407,,,,descriptive
EEC Enterochromaffin (EC),epithelial,False,5,4,-0.4353815093324435,-0.6348637415539706,-0.1994822322215271,,,,descriptive
Crypt Bottom Fibroblasts (S2A),stroma,False,2,3,0.09074661558412234,-0.3106728154996528,-0.40141943108377515,,,,descriptive
Cycling Macrophages,myeloid,False,2,2,0.03714924300819478,-0.4121606060463159,-0.44930984905451066,,,,descriptive
Mature Goblet Cells,epithelial,False,5,4,-0.15661319598138856,-0.6348637415539706,-0.47825054557258206,,,,descriptive
Transiently Amplifying Cells (TA),epithelial,False,5,4,1.8606824157118194,1.2390217444170932,-0.6216606712947261,,,,descriptive
CD4 pTreg,lymphoid,False,2,2,0.0506440848485572,-0.6137208179101519,-0.6643649027587091,,,,descriptive
CD8 IEL,lymphoid,False,2,2,0.9621500912146368,0.28215891670387583,-0.679991174510761,,,,descriptive
Secretory Progenitors,epithelial,False,5,4,0.5417290818592088,-0.28829015127399793,-0.8300192331332067,,,,descriptive
Plasma Cells,lymphoid,False,2,2,0.6981163761143883,-0.2671472276301792,-0.9652636037445674,,,,descriptive
Lower Villus Enterocytes,epithelial,False,5,4,4.079780789468429,3.070158521421516,-1.009622268046913,,,,descriptive
Medullary Sinus Endothelial,stroma,True,2,3,1.0981981258552547,-0.07962375531300436,-1.177821881168259,,,,descriptive
Tuft Cells,epithelial,False,5,4,0.6161175650731129,-0.6348637415539706,-1.2509813066270836,,,,descriptive
Memory B,lymphoid,False,2,2,1.0337005130349735,-0.2671472276301792,-1.3008477406651526,,,,descriptive
NKT Cells,lymphoid,False,2,2,2.1651026245260745,0.7725735432097387,-1.3925290813163358,,,,descriptive
CD4 Th17,lymphoid,False,2,2,2.944676717204123,1.4334514632008986,-1.5112252540032245,,,,descriptive
CD8 Circulating Effector Memory,lymphoid,False,2,2,1.5925447308994354,0.07942636264979352,-1.5131183682496419,,,,descriptive
BEST4 Enterocytes,epithelial,False,5,4,1.872400918691973,0.29955366301687136,-1.5728472556751016,,,,descriptive
CD4 Memory,lymphoid,False,2,2,3.530218964211791,1.920731283199964,-1.609487681011827,,,,descriptive
Villus Tip Enterocytes,epithelial,False,5,4,2.3565763388701617,0.484470462065581,-1.8721058768045808,,,,descriptive
Goblet Cells,epithelial,False,5,4,1.4689174507901779,-0.6348637415539706,-2.1037811923441483,,,,descriptive
CD8 TRM,lymphoid,False,2,2,4.496286868544576,2.285825509320111,-2.2104613592244653,,,,descriptive
Intestinal Stem Cells (ISC),epithelial,False,5,4,2.4824133360472,0.05828343900597477,-2.424129897041225,,,,descriptive
Plasma IGA,lymphoid,False,2,2,3.600264617282165,0.7725735432097387,-2.827691074072426,,,,descriptive
Mast Cells,myeloid,False,2,2,3.602398618145698,0.627560164793602,-2.9748384533520964,,,,descriptive
Homeostatic Macrophages,myeloid,False,2,2,3.931255021931733,0.6275601647936018,-3.3036948571381313,,,,descriptive
Lamina propria Fibroblasts (S1),stroma,False,2,3,3.8368481368934932,-0.3106728154996528,-4.147520952393146,,,,descriptive
