segment,covariate,category_A,category_B,contrast,lineage,celltype,analysis_type,n_samples_A,n_samples_B,n_donors_A,n_donors_B,n_datasets_A,n_datasets_B,mean_clr_A,mean_clr_B,delta_clr_B_minus_A,median_within_lineage_pct_A,median_within_lineage_pct_B,delta_median_pct_B_minus_A,mannwhitney_p_value,n_datasets_with_multiple_categories,n_datasets_with_two_categories_each_n_ge_5,within_study_contrast_supported,mannwhitney_fdr_within_segment_covariate_contrast
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,EEC L,descriptive,3,2,3,2,1,1,0.11443742200771823,-1.6543385865248212,-1.7687760085325395,0.8992805755395683,0.028026905829596414,-0.8712536697099719,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,EEC L,descriptive,3,4,3,2,1,1,0.11443742200771823,-0.6348637415539706,-0.7493011635616889,0.8992805755395683,0.0,-0.8992805755395683,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,EEC L,descriptive,2,4,2,2,1,1,-1.6543385865248212,-0.6348637415539706,1.0194748449708506,0.028026905829596414,0.0,-0.028026905829596414,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,EEC N,descriptive,3,2,3,2,1,1,-1.1544500745823882,-2.0009121768047935,-0.8464621022224053,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,EEC N,descriptive,3,4,3,2,1,1,-1.1544500745823882,-0.6348637415539706,0.5195863330284176,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,EEC N,descriptive,2,4,2,2,1,1,-2.0009121768047935,-0.6348637415539706,1.3660484352508229,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,EEC Progenitors,descriptive,3,2,3,2,1,1,-0.32614785798638807,-1.6543385865248208,-1.3281907285384327,0.33670033670033667,0.031133250311332503,-0.30556708638900415,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,EEC Progenitors,descriptive,3,4,3,2,1,1,-0.32614785798638807,-0.4615769464139843,-0.1354290884275962,0.33670033670033667,0.0,-0.33670033670033667,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,EEC Progenitors,descriptive,2,4,2,2,1,1,-1.6543385865248208,-0.4615769464139843,1.1927616401108365,0.031133250311332503,0.0,-0.031133250311332503,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,EEC S,descriptive,3,2,3,2,1,1,-1.1544500745823882,-2.0009121768047935,-0.8464621022224053,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,EEC S,descriptive,3,4,3,2,1,1,-1.1544500745823882,-0.6348637415539706,0.5195863330284176,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,EEC S,descriptive,2,4,2,2,1,1,-2.0009121768047935,-0.6348637415539706,1.3660484352508229,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Enterocyte Progenitors,descriptive,3,2,3,2,1,1,2.2431726526254416,2.596193318218356,0.35302066559291445,9.090909090909092,5.87880928580603,-3.212099805103062,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Enterocyte Progenitors,descriptive,3,4,3,2,1,1,2.2431726526254416,2.306702385695895,0.06352973307045318,9.090909090909092,10.512072065106029,1.4211629741969372,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Enterocyte Progenitors,descriptive,2,4,2,2,1,1,2.596193318218356,2.306702385695895,-0.2894909325224613,5.87880928580603,10.512072065106029,4.633262779299999,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Enteroendocrine Cells (EEC),descriptive,3,2,3,2,1,1,-1.1544500745823882,-2.0009121768047935,-0.8464621022224053,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Enteroendocrine Cells (EEC),descriptive,3,4,3,2,1,1,-1.1544500745823882,-0.6348637415539706,0.5195863330284176,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Enteroendocrine Cells (EEC),descriptive,2,4,2,2,1,1,-2.0009121768047935,-0.6348637415539706,1.3660484352508229,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Epithelial,descriptive,3,2,3,2,1,1,-1.3854991347690369,-1.6543385865248212,-0.2688394517557844,0.0,0.028026905829596414,0.028026905829596414,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Epithelial,descriptive,3,4,3,2,1,1,-1.3854991347690369,-0.6348637415539706,0.7506353932150662,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Epithelial,descriptive,2,4,2,2,1,1,-1.6543385865248212,-0.6348637415539706,1.0194748449708506,0.028026905829596414,0.0,-0.028026905829596414,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Foveolar Cells,descriptive,3,2,3,2,1,1,-1.3854991347690369,-2.0009121768047935,-0.6154130420357566,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Foveolar Cells,descriptive,3,4,3,2,1,1,-1.3854991347690369,-0.6348637415539706,0.7506353932150662,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Foveolar Cells,descriptive,2,4,2,2,1,1,-2.0009121768047935,-0.6348637415539706,1.3660484352508229,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Goblet Cells,descriptive,3,2,3,2,1,1,1.5666736975709155,1.3222830806190713,-0.24439061695184416,2.751322751322751,1.6067130547442607,-1.1446096965784904,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Goblet Cells,descriptive,3,4,3,2,1,1,1.5666736975709155,-0.6348637415539706,-2.201537439124886,2.751322751322751,0.0,-2.751322751322751,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Goblet Cells,descriptive,2,4,2,2,1,1,1.3222830806190713,-0.6348637415539706,-1.957146822173042,1.6067130547442607,0.0,-1.6067130547442607,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Intestinal Stem Cells (ISC),descriptive,3,2,3,2,1,1,2.843607227513278,1.940622498848083,-0.9029847286651951,9.352517985611511,3.0608662024135946,-6.291651783197917,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Intestinal Stem Cells (ISC),descriptive,3,4,3,2,1,1,2.843607227513278,0.05828343900597477,-2.785323788507303,9.352517985611511,0.17301038062283738,-9.179507604988673,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Intestinal Stem Cells (ISC),descriptive,2,4,2,2,1,1,1.940622498848083,0.05828343900597477,-1.8823390598421081,3.0608662024135946,0.17301038062283738,-2.8878558217907573,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Lower Crypt Colonocytes,descriptive,3,2,3,2,1,1,-1.3854991347690369,-1.1050324421907662,0.2804666925782706,0.0,0.09029340645226142,0.09029340645226142,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Lower Crypt Colonocytes,descriptive,3,4,3,2,1,1,-1.3854991347690369,-0.6348637415539706,0.7506353932150662,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Lower Crypt Colonocytes,descriptive,2,4,2,2,1,1,-1.1050324421907662,-0.6348637415539706,0.4701687006367956,0.09029340645226142,0.0,-0.09029340645226142,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Lower Villus Enterocytes,descriptive,3,2,3,2,1,1,3.9847748860415684,4.22228964460872,0.23751475856715176,55.93525179856115,29.857729422736487,-26.07752237582466,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Lower Villus Enterocytes,descriptive,3,4,3,2,1,1,3.9847748860415684,3.070158521421516,-0.9146163646200525,55.93525179856115,33.718418356498034,-22.216833442063113,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Lower Villus Enterocytes,descriptive,2,4,2,2,1,1,4.22228964460872,3.070158521421516,-1.1521311231872042,29.857729422736487,33.718418356498034,3.8606889337615478,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Mature Goblet Cells,descriptive,3,2,3,2,1,1,-0.9234010143957398,0.9935685316401384,1.9169695460358782,0.10582010582010583,1.1209366221959134,1.0151165163758076,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Mature Goblet Cells,descriptive,3,4,3,2,1,1,-0.9234010143957398,-0.6348637415539706,0.2885372728417692,0.10582010582010583,0.0,-0.10582010582010583,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Mature Goblet Cells,descriptive,2,4,2,2,1,1,0.9935685316401384,-0.6348637415539706,-1.628432273194109,1.1209366221959134,0.0,-1.1209366221959134,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Microfold Cells (M Cells),descriptive,3,2,3,2,1,1,-1.0192950385463335,-1.6543385865248208,-0.6350435479784873,0.0,0.031133250311332503,0.031133250311332503,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Microfold Cells (M Cells),descriptive,3,4,3,2,1,1,-1.0192950385463335,-0.6348637415539706,0.3844312969923629,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI_LP,EPI_LP_MUSC,EPI_LP_MUSC minus EPI_LP,epithelial,Microfold Cells (M Cells),descriptive,2,4,2,2,1,1,-1.6543385865248208,-0.6348637415539706,1.0194748449708502,0.031133250311332503,0.0,-0.031133250311332503,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP,EPI_LP minus EPI,epithelial,Mid Crypt Colonocytes,descriptive,3,2,3,2,1,1,-1.3854991347690369,-2.0009121768047935,-0.6154130420357566,0.0,0.0,0.0,,0,0,False,
duodenum,radial_tissue_term,EPI,EPI_LP_MUSC,EPI_LP_MUSC minus EPI,epithelial,Mid Crypt Colonocytes,descriptive,3,4,3,2,1,1,-1.3854991347690369,-0.6348637415539706,0.7506353932150662,0.0,0.0,0.0,,0,0,False,
