annotation_group,annotation_column,annotation_level,level_order,hgca_celltype_v1,n_samples,mean_clr,row_z
Tissue,tissue_level_1,duodenum,0,Adipocytes,10,-0.6930941528493598,-0.13776735167577192
Tissue,tissue_level_1,duodenum,0,Plasma Cells,10,0.1622969245857802,-0.7795449238573025
Tissue,tissue_level_1,duodenum,0,Plasma IGA,10,1.0194859273694987,-0.05213100552211341
Tissue,tissue_level_1,duodenum,0,Plasma IGG,10,-0.43659921710320615,-0.6570578341500508
Tissue,tissue_level_1,duodenum,0,GC B Dark Zone (GC B DZ),10,-0.3635104662489269,-0.4635133616491517
Tissue,tissue_level_1,duodenum,0,GC B Light Zone (GC B LZ),10,-0.5832329239825489,-0.8838477511838141
Tissue,tissue_level_1,duodenum,0,Memory B,10,0.23140900832725153,-1.141284207391641
Tissue,tissue_level_1,duodenum,0,Naive B,10,-0.25614936760265766,-1.0949091366861916
Tissue,tissue_level_1,duodenum,0,CD4 Tfh,10,0.043106902276613554,-0.9791382226293769
Tissue,tissue_level_1,duodenum,0,CD4 Th17,10,0.9853514467830132,-1.3550491888489327
Tissue,tissue_level_1,duodenum,0,CD4 Tr1,10,-0.4733716951157379,-0.8308930073249751
Tissue,tissue_level_1,duodenum,0,CD4 Tfr,10,-0.42228913273913876,-0.8136739158556986
Tissue,tissue_level_1,duodenum,0,CD4 pTreg,10,-0.08106441095426475,-1.1855341454855572
Tissue,tissue_level_1,duodenum,0,CD4 tTreg,10,-0.20256667500551684,-0.9051175942267807
Tissue,tissue_level_1,duodenum,0,CD4 Naive,10,-0.5321503616059498,-1.0276200204431245
Tissue,tissue_level_1,duodenum,0,CD4 Memory,10,1.200669072362239,-1.0852862209529603
Tissue,tissue_level_1,duodenum,0,CD8 Effector Memory,10,0.1529681311434245,-0.9535596657319261
Tissue,tissue_level_1,duodenum,0,CD8 Circulating Effector Memory,10,0.43018069635106226,-1.238599304296237
Tissue,tissue_level_1,duodenum,0,CD8 Memory Exhausted,10,-0.6930941528493598,-0.19937010219003243
Tissue,tissue_level_1,duodenum,0,CD8 TRM,10,1.4672598595219224,-0.9386420249874124
Tissue,tissue_level_1,duodenum,0,CD8 IEL,10,0.34548178403904595,-0.8276563398659675
Tissue,tissue_level_1,duodenum,0,CD8 Naive,10,-0.6930941528493598,-0.8859388251726068
Tissue,tissue_level_1,duodenum,0,Gamma Delta T Cells,10,-0.5832329239825489,-1.1948206629075522
Tissue,tissue_level_1,duodenum,0,MAIT Cells,10,-0.5832329239825489,-1.354241507170258
Tissue,tissue_level_1,duodenum,0,NKT Cells,10,0.7316432611433372,-0.2797943441848662
Tissue,tissue_level_1,duodenum,0,NK Cells,10,0.17072295894755418,-0.9015612123795503
Tissue,tissue_level_1,duodenum,0,ILC3,10,-0.2276981178336075,-1.167284292824811
Tissue,tissue_level_1,duodenum,0,Classical Monocytes,10,-0.5832329239825489,-1.8768411045242313
Tissue,tissue_level_1,duodenum,0,Nonclassical Monocytes,10,-0.6930941528493598,0.06524487351311692
Tissue,tissue_level_1,duodenum,0,Cycling Macrophages,10,-0.4222891327391388,-0.12802127729227186
Tissue,tissue_level_1,duodenum,0,Homeostatic Macrophages,10,0.7071467595757737,0.8312482794521062
Tissue,tissue_level_1,duodenum,0,M0 Macrophages,10,0.4500437598918059,-0.17620203310202834
Tissue,tissue_level_1,duodenum,0,Perivascular Resident Macrophages,10,-0.5832329239825489,-0.4913408980540398
Tissue,tissue_level_1,duodenum,0,Follicle Associated Resident Macrophages,10,-0.6930941528493598,-0.5094241460905896
Tissue,tissue_level_1,duodenum,0,migDC,10,-0.6930941528493598,-0.1696369386171886
Tissue,tissue_level_1,duodenum,0,cDC1,10,-0.6930941528493598,-1.218317737443144
Tissue,tissue_level_1,duodenum,0,cDC2,10,-0.005467691660283181,-0.485800033872117
Tissue,tissue_level_1,duodenum,0,Tolerogenic cDC2,10,-0.5832329239825489,0.05381283302657455
Tissue,tissue_level_1,duodenum,0,pDC,10,-0.6930941528493598,0.2897496624793308
Tissue,tissue_level_1,duodenum,0,Monocyte Derived Dendritic Cells (MO DC),10,-0.6930941528493598,-0.2227598231382546
Tissue,tissue_level_1,duodenum,0,Mast Cells,10,0.6072401798466939,-0.025568673453450978
Tissue,tissue_level_1,duodenum,0,Neutrophils,10,-0.6930941528493598,0.7839664148958314
Tissue,tissue_level_1,duodenum,0,Eosinophils,10,-0.6930941528493598,0.7633777284676486
Tissue,tissue_level_1,jejunum,1,Epithelial,45,-0.8094920258660464,-0.006736238502671287
