dataset_id,hgca_celltype_v1,n_cells
Huang2019,BEST4 Enterocytes,1
Huang2019,CD8 Effector Memory,7
Huang2019,CD8 IEL,1
Huang2019,GC B Dark Zone (GC B DZ),1
Huang2019,GC B Light Zone (GC B LZ),6
Huang2019,Gamma Delta T Cells,5
Huang2019,ILC3,13
Huang2019,MAIT Cells,1
Huang2019,Memory B,4
Huang2019,NK Cells,5
Huang2019,NKT Cells,7
Huang2019,Naive B,4
Huang2019,Plasma Cells,1
Huang2019,Plasma IGG,4
Huang2019,cDC1,1
Jaeger2021,CD4 Tfr,3
James2020_3p,CD4 Memory,18
James2020_3p,CD4 Naive,19
James2020_3p,CD4 Tfh,32
James2020_3p,CD4 Th17,36
James2020_3p,CD4 Tr1,1
James2020_3p,CD4 pTreg,3
James2020_3p,CD4 tTreg,4
James2020_3p,CD8 Circulating Effector Memory,5
James2020_3p,MAIT Cells,1
James2020_3p,cDC2,1
James2020_5p,Tuft Progenitors,1
Kinchen2018,Crypt Bottom Fibroblasts (S2A),2
Kinchen2018,Fibroblastic Reticular Cells (FRC),3
Kinchen2018,Marginal Reticular Cells (MRC),1
Kong2023_v2,Angiogenic Pericytes,1
Kong2023_v2,CD4 Memory,1
Kong2023_v2,CD4 Tfh,1
Kong2023_v2,CD4 Th17,2
Kong2023_v2,CD8 TRM,1
Kong2023_v2,Capillary Endothelial,1
Kong2023_v2,Crypt Top Colonocytes,1
Kong2023_v2,Crypt Top Fibroblasts (S2B),1
Kong2023_v2,Cycling Macrophages,1
Kong2023_v2,Enterocyte Progenitors,2
Kong2023_v2,Epithelial,1
Kong2023_v2,Fibroblastic Reticular Cells (FRC),1
Kong2023_v2,GC B Dark Zone (GC B DZ),6
Kong2023_v2,GC B Light Zone (GC B LZ),6
Kong2023_v2,ILC3,1
Kong2023_v2,Interstitial Cells of Cajal (ICC),6
Kong2023_v2,Lamina propria Fibroblasts (S1),3
Kong2023_v2,Lower Villus Enterocytes,3
Kong2023_v2,M0 Macrophages,1
Kong2023_v2,Memory B,2
Kong2023_v2,Mid Villus Enterocytes,14
Kong2023_v2,Muscularis Propria Fibroblasts,3
Kong2023_v2,Paneth Cells,4
Kong2023_v2,Perivascular Resident Macrophages,1
Kong2023_v2,Plasma Cells,18
Kong2023_v2,Post Arteriole Capillary Endothelial (PAC),1
Kong2023_v2,Pre Venule Capillary Endothelial (PVC),1
Kong2023_v2,Secretory Progenitors,14
Kong2023_v2,Submucosal Fibroblasts (S3),2
Kong2023_v2,Transiently Amplifying Cells (TA),5
Kong2023_v2,Villus Tip Enterocytes,23
Kong2023_v2,cDC1,1
Kong2023_v2,cDC2,1
Kong2023_v3,BEST4 Colonocytes,1
Kong2023_v3,BEST4 Enterocytes,13
Kong2023_v3,CD4 Memory,22
Kong2023_v3,CD4 Naive,6
Kong2023_v3,CD4 Tfh,15
Kong2023_v3,CD4 Tfr,3
Kong2023_v3,CD4 Th17,32
Kong2023_v3,CD4 Tr1,4
Kong2023_v3,CD4 pTreg,7
Kong2023_v3,CD4 tTreg,7
Kong2023_v3,CD8 Circulating Effector Memory,16
Kong2023_v3,CD8 Effector Memory,3
Kong2023_v3,CD8 IEL,28
Kong2023_v3,CD8 Naive,4
Kong2023_v3,CD8 TRM,46
Kong2023_v3,Classical Monocytes,1
Kong2023_v3,Crypt Bottom Fibroblasts (S2A),1
Kong2023_v3,Cycling Macrophages,3
Kong2023_v3,EEC N,1
Kong2023_v3,EEC Progenitors,1
Kong2023_v3,EEC S,1
Kong2023_v3,Enterocyte Progenitors,7
Kong2023_v3,Eosinophils,1
Kong2023_v3,Follicle Associated Resident Macrophages,3
Kong2023_v3,GC B Dark Zone (GC B DZ),16
Kong2023_v3,GC B Light Zone (GC B LZ),9
Kong2023_v3,Gamma Delta T Cells,1
Kong2023_v3,Glia,1
Kong2023_v3,Goblet Cells,20
Kong2023_v3,Homeostatic Macrophages,1
Kong2023_v3,ILC3,1
Kong2023_v3,Lamina propria Fibroblasts (S1),3
Kong2023_v3,Lower Villus Enterocytes,12
Kong2023_v3,M0 Macrophages,16
Kong2023_v3,MAIT Cells,2
Kong2023_v3,Marginal Reticular Cells (MRC),1
Kong2023_v3,Mast Cells,2
Kong2023_v3,Mature Goblet Cells,12
Kong2023_v3,Memory B,29
Kong2023_v3,Microfold Cells (M Cells),1
Kong2023_v3,Mid Villus Enterocytes,23
Kong2023_v3,Monocyte Derived Dendritic Cells (MO DC),1
Kong2023_v3,NK Cells,10
Kong2023_v3,NKT Cells,37
Kong2023_v3,Naive B,25
Kong2023_v3,Paneth Cells,3
Kong2023_v3,Plasma Cells,27
Kong2023_v3,Post Arteriole Capillary Endothelial (PAC),1
Kong2023_v3,Secretory Progenitors,4
Kong2023_v3,Transiently Amplifying Cells (TA),21
Kong2023_v3,Tuft Cells,2
Kong2023_v3,Tuft Progenitors,3
Kong2023_v3,Villus Tip Enterocytes,69
Kong2023_v3,cDC2,2
Krzak2023,BEST4 Colonocytes,5
Krzak2023,CD4 Memory,13
Krzak2023,CD4 Naive,14
Krzak2023,CD4 Tfh,3
Krzak2023,CD4 Tfr,1
Krzak2023,CD4 Th17,7
Krzak2023,CD4 pTreg,1
Krzak2023,CD8 IEL,2
Krzak2023,CD8 Naive,1
Krzak2023,CD8 TRM,48
Krzak2023,EEC N,1
Krzak2023,Enterocyte Progenitors,10
Krzak2023,Eosinophils,1
Krzak2023,Follicle Associated Resident Macrophages,3
Krzak2023,GC B Dark Zone (GC B DZ),13
Krzak2023,GC B Light Zone (GC B LZ),14
Krzak2023,Goblet Cells,21
Krzak2023,ILC3,3
Krzak2023,Intestinal Stem Cells (ISC),3
Krzak2023,Lower Villus Enterocytes,16
Krzak2023,Mature Goblet Cells,17
Krzak2023,Memory B,18
Krzak2023,Microfold Cells (M Cells),4
Krzak2023,Mid Villus Enterocytes,12
Krzak2023,NK Cells,3
Krzak2023,NKT Cells,5
Krzak2023,Naive B,8
Krzak2023,Paneth Cells,2
Krzak2023,Plasma IGA,4
Krzak2023,Plasma IGG,1
Krzak2023,Transiently Amplifying Cells (TA),6
Krzak2023,Tuft Cells,2
Krzak2023,Tuft Progenitors,1
Krzak2023,Villus Tip Enterocytes,5
Lee2020,Brunners Gland Cells,7
Lee2020,CD4 Tfh,3
Lee2020,CD4 Th17,2
Lee2020,CD4 pTreg,7
Lee2020,CD8 Circulating Effector Memory,2
Lee2020,CD8 Effector Memory,1
Lee2020,CD8 Memory Exhausted,4
Lee2020,Classical Monocytes,1
Lee2020,Contractile Pericytes,1
Lee2020,GC B Dark Zone (GC B DZ),8
Lee2020,GC B Light Zone (GC B LZ),4
Lee2020,Goblet Cells,8
Lee2020,M0 Macrophages,1
Lee2020,Mast Cells,2
Lee2020,Memory B,4
Lee2020,Naive B,6
Lee2020,Plasma IGG,6
Lee2020,Post Arteriole Capillary Endothelial (PAC),1
Lee2020,Secretory Pericytes,1
Lee2020,Venular Endothelial,1
Lee2020,cDC2,2
Lee2020,migDC,1
Luoma2020,BEST4 Colonocytes,1
Luoma2020,CD4 Memory,11
Luoma2020,CD4 Naive,6
Luoma2020,CD4 Tfh,2
Luoma2020,CD4 Th17,3
Luoma2020,CD4 pTreg,1
Luoma2020,CD4 tTreg,2
Luoma2020,CD8 Circulating Effector Memory,2
Luoma2020,CD8 Effector Memory,3
Luoma2020,CD8 IEL,6
Luoma2020,CD8 Naive,1
Luoma2020,CD8 TRM,4
Luoma2020,Crypt Top Colonocytes,1
Luoma2020,GC B Dark Zone (GC B DZ),11
Luoma2020,GC B Light Zone (GC B LZ),13
Luoma2020,Memory B,12
Luoma2020,NK Cells,1
Luoma2020,NKT Cells,1
Luoma2020,Naive B,7
Luoma2020,Plasma Cells,28
Luoma2020,Plasma IGA,4
Luoma2020,cDC1,1
Martin2019,CD4 Memory,8
Martin2019,CD4 Tfh,1
Martin2019,CD4 Th17,8
Martin2019,CD4 tTreg,1
Martin2019,CD8 Effector Memory,1
Martin2019,CD8 IEL,1
Martin2019,CD8 Memory Exhausted,1
Martin2019,CD8 TRM,13
Martin2019,Classical Monocytes,1
Martin2019,Enterocyte Progenitors,1
Martin2019,GC B Light Zone (GC B LZ),1
Martin2019,Gamma Delta T Cells,1
Martin2019,Homeostatic Macrophages,1
Martin2019,ILC3,9
Martin2019,Marginal Reticular Cells (MRC),1
Martin2019,NK Cells,4
Martin2019,Plasma IGA,4
Martin2019,Plasma IGG,1
Martin2019,Transiently Amplifying Cells (TA),1
Martin2019,Venular Endothelial,1
Martin2019,cDC2,1
Wang2020,BEST4 Enterocytes,1
Wang2020,EEC Progenitors,1
Wang2020,Goblet Cells,12
Wang2020,Tuft Progenitors,1
Wells2025,CD4 Memory,11
Wells2025,CD4 Th17,1
Wells2025,CD8 IEL,4
Wells2025,CD8 TRM,41
Wells2025,Plasma IGA,3
Wells2025_2,CD4 Memory,12
Wells2025_2,CD4 Tfh,1
Wells2025_2,CD4 Th17,15
Wells2025_2,CD4 pTreg,1
Wells2025_2,CD8 Circulating Effector Memory,3
Wells2025_2,CD8 Effector Memory,35
Wells2025_2,CD8 IEL,31
Wells2025_2,CD8 Memory Exhausted,12
Wells2025_2,CD8 TRM,94
Wells2025_2,Classical Monocytes,2
Wells2025_2,Cycling Macrophages,1
Wells2025_2,Homeostatic Macrophages,2
Wells2025_2,ILC3,1
Wells2025_2,Mast Cells,10
Wells2025_2,Monocyte Derived Dendritic Cells (MO DC),3
Wells2025_2,NK Cells,7
Wells2025_2,NKT Cells,5
Wells2025_2,Naive B,2
Wells2025_2,Nonclassical Monocytes,3
Wells2025_2,Plasma IGA,3
Wells2025_2,cDC1,1
Yu2021,Tuft Progenitors,2
Zheng2024,Angiogenic Pericytes,1
Zheng2024,CD4 Memory,3
Zheng2024,CD4 Naive,4
Zheng2024,CD4 Tfh,5
Zheng2024,CD4 Tfr,2
Zheng2024,CD4 Th17,9
Zheng2024,CD4 tTreg,1
Zheng2024,CD8 Circulating Effector Memory,3
Zheng2024,CD8 IEL,2
Zheng2024,CD8 Naive,1
Zheng2024,CD8 TRM,4
Zheng2024,Fibroblastic Reticular Cells (FRC),1
Zheng2024,Follicle Associated Resident Macrophages,5
Zheng2024,Follicular Dendritic Cells (fDC),1
Zheng2024,GC B Dark Zone (GC B DZ),13
Zheng2024,GC B Light Zone (GC B LZ),11
Zheng2024,ILC3,4
Zheng2024,Lamina propria Fibroblasts (S1),12
Zheng2024,M0 Macrophages,5
Zheng2024,Marginal Reticular Cells (MRC),1
Zheng2024,Medullary Sinus Endothelial,1
Zheng2024,Memory B,18
Zheng2024,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),1
Zheng2024,Myofibroblasts,1
Zheng2024,NK Cells,3
Zheng2024,Naive B,1
Zheng2024,Post Arteriole Capillary Endothelial (PAC),2
Zheng2024,Tolerogenic cDC2,1
Zheng2024,Venular Endothelial,1
Zheng2024,cDC2,5
Zheng2024,pDC,1
