context,n_samples,n_pos,detection_rate,celltype,short_name,strata,radial_layer,segment
,6,False,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment,,duodenum
,71,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment,,ileum
,9,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment,,jejunum
full_thickness,8,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×depth,,colon
not_full_thickness,34,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×depth,,colon
full_thickness,2,False,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×depth,,duodenum
not_full_thickness,4,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×depth,,duodenum
full_thickness,8,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×depth,,ileum
not_full_thickness,63,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×depth,,ileum
full_thickness,1,False,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×depth,,jejunum
not_full_thickness,8,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×depth,,jejunum
,15,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,EPI,colon
,9,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,EPI_LP,colon
,8,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,EPI_LP_MUSC,colon
,5,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,LP,colon
,5,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,WM,colon
,2,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,EPI,duodenum
,2,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,EPI_LP,duodenum
,2,False,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,EPI_LP_MUSC,duodenum
,9,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,EPI,ileum
,25,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,EPI_LP,ileum
,8,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,EPI_LP_MUSC,ileum
,22,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,LP,ileum
,7,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,WM,ileum
,2,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,EPI,jejunum
,1,False,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,EPI_LP_MUSC,jejunum
,6,0,0.0,Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),segment×radial_layer,LP,jejunum
