context,n_samples,n_pos,detection_rate,celltype,short_name,strata,radial_layer,segment
,19,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),radial_layer,EPI_LP_MUSC,
,33,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),radial_layer,LP,
,12,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),radial_layer,WM,
,42,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment,,colon
,6,False,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment,,duodenum
,71,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment,,ileum
,9,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment,,jejunum
full_thickness,8,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×depth,,colon
not_full_thickness,34,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×depth,,colon
full_thickness,2,False,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×depth,,duodenum
not_full_thickness,4,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×depth,,duodenum
full_thickness,8,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×depth,,ileum
not_full_thickness,63,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×depth,,ileum
full_thickness,1,False,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×depth,,jejunum
not_full_thickness,8,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×depth,,jejunum
,15,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,EPI,colon
,9,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,EPI_LP,colon
,8,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,EPI_LP_MUSC,colon
,5,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,LP,colon
,5,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,WM,colon
,2,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,EPI,duodenum
,2,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,EPI_LP,duodenum
,2,False,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,EPI_LP_MUSC,duodenum
,9,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,EPI,ileum
,25,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,EPI_LP,ileum
,8,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,EPI_LP_MUSC,ileum
,22,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,LP,ileum
,7,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,WM,ileum
,2,0,0.0,Fibroblastic Reticular Cells (FRC),Fibroblastic Reticular Cells (FRC),segment×radial_layer,EPI,jejunum
