celltype,short_name,role,unit,exclude_datasets,min_sample_cells,min_ct_cells,n_ids_A,n_ids_B,mean_CLR_A,mean_CLR_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets,id_col,filter,filter_family,threshold
CD4 Tfr,Tfr,featured,sample,,,,36.0,11.0,-0.36035355756256465,-0.4430808599873679,-0.08272730242480325,-0.3749649095031201,0.19390055067300194,0.42860461811363637,16.0,sample_id,none,sample_depth,0
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,,,,21.0,9.0,-0.0753357788724102,0.041974052121634936,0.11730983099404514,-0.2881189531582199,0.5728367449084697,1.0,9.0,sample_id,none,sample_depth,0
Follicle Associated Resident Macrophages,FARM,featured,sample,,,,31.0,8.0,0.18392264233067127,-0.0832644329473761,-0.26718707527804736,-0.503840500357906,-0.055344928865458,0.4935313166556319,14.0,sample_id,none,sample_depth,0
Tuft Progenitors,Tuft progenitors,featured,sample,,,,70.0,17.0,-0.011175114722479267,-0.09728411346556329,-0.08610899874308402,-0.2859813184013487,0.1557583521954619,0.013652558439160772,15.0,sample_id,none,sample_depth,0
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,,,,70.0,17.0,0.07218259005777225,0.2246964897124307,0.15251389965465845,-0.24505356385239155,0.6001040442292266,0.526811668941976,15.0,sample_id,none,sample_depth,0
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,,,,70.0,17.0,0.1198551589797491,0.3011996445554728,0.18134448557572372,-0.23956151269757495,0.6857531401201392,0.563804472090611,15.0,sample_id,none,sample_depth,0
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,,,,21.0,9.0,0.28353869438494755,0.2755658116231265,-0.007972882761821065,-0.7632797207863631,0.8229089958579929,0.5156983940653587,9.0,sample_id,none,sample_depth,0
Goblet Cells,Goblet cells,negative_control,sample,,,,70.0,17.0,0.35480252450346056,0.09206152329138968,-0.2627410012120709,-0.6760563316979965,0.26465097407739213,0.00271465278783155,15.0,sample_id,none,sample_depth,0
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,,,,70.0,17.0,0.27713530196713054,-0.08547995490896622,-0.36261525687609675,-0.68213573838832,0.02049478456651056,0.00013480786442301957,15.0,sample_id,none,sample_depth,0
CD8 IEL,CD8 IEL,negative_control,sample,,,,36.0,11.0,0.5135453603191954,0.7772343645751548,0.2636890042559594,-0.5172139835858977,1.0143330654343206,0.6241149561615238,16.0,sample_id,none,sample_depth,0
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,,,,31.0,8.0,-0.02871199418573709,0.05406210313613766,0.08277409732187474,-0.14924476304135348,0.3728034311089708,0.773262288967739,14.0,sample_id,none,sample_depth,0
Paneth Cells,Paneth cells,negative_control,sample,,,,70.0,17.0,0.0009291404259093561,-0.22653261801475266,-0.22746175844066202,-0.36717678324141284,-0.10139192592892166,0.007858905395042054,15.0,sample_id,none,sample_depth,0
CD4 Tfr,Tfr,featured,sample,,,,36.0,11.0,-0.36035355756256465,-0.4430808599873679,-0.08272730242480325,-0.3749649095031201,0.19390055067300194,0.42860461811363637,16.0,sample_id,none,ct_min_cells,0
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,,,,21.0,9.0,-0.0753357788724102,0.041974052121634936,0.11730983099404514,-0.2881189531582199,0.5728367449084697,1.0,9.0,sample_id,none,ct_min_cells,0
Follicle Associated Resident Macrophages,FARM,featured,sample,,,,31.0,8.0,0.18392264233067127,-0.0832644329473761,-0.26718707527804736,-0.503840500357906,-0.055344928865458,0.4935313166556319,14.0,sample_id,none,ct_min_cells,0
Tuft Progenitors,Tuft progenitors,featured,sample,,,,70.0,17.0,-0.011175114722479267,-0.09728411346556329,-0.08610899874308402,-0.2859813184013487,0.1557583521954619,0.013652558439160772,15.0,sample_id,none,ct_min_cells,0
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,,,,70.0,17.0,0.07218259005777225,0.2246964897124307,0.15251389965465845,-0.24505356385239155,0.6001040442292266,0.526811668941976,15.0,sample_id,none,ct_min_cells,0
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,,,,70.0,17.0,0.1198551589797491,0.3011996445554728,0.18134448557572372,-0.23956151269757495,0.6857531401201392,0.563804472090611,15.0,sample_id,none,ct_min_cells,0
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,,,,21.0,9.0,0.28353869438494755,0.2755658116231265,-0.007972882761821065,-0.7632797207863631,0.8229089958579929,0.5156983940653587,9.0,sample_id,none,ct_min_cells,0
Goblet Cells,Goblet cells,negative_control,sample,,,,70.0,17.0,0.35480252450346056,0.09206152329138968,-0.2627410012120709,-0.6760563316979965,0.26465097407739213,0.00271465278783155,15.0,sample_id,none,ct_min_cells,0
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,,,,70.0,17.0,0.27713530196713054,-0.08547995490896622,-0.36261525687609675,-0.68213573838832,0.02049478456651056,0.00013480786442301957,15.0,sample_id,none,ct_min_cells,0
CD8 IEL,CD8 IEL,negative_control,sample,,,,36.0,11.0,0.5135453603191954,0.7772343645751548,0.2636890042559594,-0.5172139835858977,1.0143330654343206,0.6241149561615238,16.0,sample_id,none,ct_min_cells,0
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,,,,31.0,8.0,-0.02871199418573709,0.05406210313613766,0.08277409732187474,-0.14924476304135348,0.3728034311089708,0.773262288967739,14.0,sample_id,none,ct_min_cells,0
Paneth Cells,Paneth cells,negative_control,sample,,,,70.0,17.0,0.0009291404259093561,-0.22653261801475266,-0.22746175844066202,-0.36717678324141284,-0.10139192592892166,0.007858905395042054,15.0,sample_id,none,ct_min_cells,0
CD4 Tfr,Tfr,featured,sample,,,1,36.0,11.0,-0.36035355756256465,-0.4430808599873679,-0.08272730242480325,-0.3749649095031201,0.19390055067300194,0.42860461811363637,16.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,,,1,21.0,9.0,-0.0753357788724102,0.041974052121634936,0.11730983099404514,-0.2881189531582199,0.5728367449084697,1.0,9.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
Follicle Associated Resident Macrophages,FARM,featured,sample,,,1,31.0,8.0,0.18392264233067127,-0.0832644329473761,-0.26718707527804736,-0.503840500357906,-0.055344928865458,0.4935313166556319,14.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
Tuft Progenitors,Tuft progenitors,featured,sample,,,1,70.0,17.0,-0.011175114722479267,-0.09728411346556329,-0.08610899874308402,-0.2859813184013487,0.1557583521954619,0.013652558439160772,15.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,,,1,70.0,17.0,0.07218259005777225,0.2246964897124307,0.15251389965465845,-0.24505356385239155,0.6001040442292266,0.526811668941976,15.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,,,1,70.0,17.0,0.1198551589797491,0.3011996445554728,0.18134448557572372,-0.23956151269757495,0.6857531401201392,0.563804472090611,15.0,sample_id,drop_sparse_0<n<1,ct_min_cells,1
