celltype,short_name,role,dataset_id,inference,n_A,n_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets_both_arms,n_datasets_total,is_pooled,arm_mean_CLR,arm_present
Tuft Progenitors,Tuft progenitors,featured,BasuHelmsley,one-arm (no within-study contrast),5,0,,,,,0,1,False,0.15019682547833096,rest
Tuft Progenitors,Tuft progenitors,featured,Burclaff2022,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.32818871314586917,rest
Tuft Progenitors,Tuft progenitors,featured,Elmentaite2020,within-study,1,13,-0.23306491525859502,,,,1,1,False,,
Tuft Progenitors,Tuft progenitors,featured,HamiltonHelmsley,one-arm (no within-study contrast),12,0,,,,,0,1,False,-0.0620263105726598,rest
Tuft Progenitors,Tuft progenitors,featured,Huang2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0392361531667169,rest
Tuft Progenitors,Tuft progenitors,featured,James2020_5p,one-arm (no within-study contrast),0,1,,,,,0,1,False,1.059376135501393,full
Tuft Progenitors,Tuft progenitors,featured,Kong2023_v2,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.2284932458519845,rest
Tuft Progenitors,Tuft progenitors,featured,Kong2023_v3,one-arm (no within-study contrast),20,0,,,,,0,1,False,0.004046583054749893,rest
Tuft Progenitors,Tuft progenitors,featured,Krzak2023,one-arm (no within-study contrast),12,0,,,,,0,1,False,-0.09954227641743425,rest
Tuft Progenitors,Tuft progenitors,featured,Lee2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.09895113473497315,rest
Tuft Progenitors,Tuft progenitors,featured,Luoma2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0392361531667169,rest
Tuft Progenitors,Tuft progenitors,featured,Martin2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0784723063334373,rest
Tuft Progenitors,Tuft progenitors,featured,Wang2020,one-arm (no within-study contrast),4,0,,,,,0,1,False,0.2164859945699518,rest
Tuft Progenitors,Tuft progenitors,featured,Yu2021,one-arm (no within-study contrast),2,0,,,,,0,1,False,1.059376135501393,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,ALL (pooled),mixed,70,17,0.15251389965465845,-0.24505356385239155,0.6001040442292266,0.526811668941976,1,15,True,,
BEST4 Enterocytes,BEST4 enterocytes,featured,ArendsHelmsley,one-arm (no within-study contrast),0,3,,,,,0,1,False,-0.09063482118500803,full
BEST4 Enterocytes,BEST4 enterocytes,featured,BasuHelmsley,one-arm (no within-study contrast),5,0,,,,,0,1,False,0.574249532718349,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,Burclaff2022,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.11636424804906831,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,Elmentaite2020,within-study,1,13,0.3570039179231065,,,,1,1,False,,
BEST4 Enterocytes,BEST4 enterocytes,featured,HamiltonHelmsley,one-arm (no within-study contrast),12,0,,,,,0,1,False,0.07209351546351517,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,Huang2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,1.059376135501393,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,James2020_5p,one-arm (no within-study contrast),0,1,,,,,0,1,False,-0.0392361531667169,full
BEST4 Enterocytes,BEST4 enterocytes,featured,Kong2023_v2,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.2284932458519845,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,Kong2023_v3,one-arm (no within-study contrast),20,0,,,,,0,1,False,0.17680981320137149,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,Krzak2023,one-arm (no within-study contrast),12,0,,,,,0,1,False,-0.1910933004731101,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,Lee2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.09895113473497315,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,Luoma2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0392361531667169,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,Martin2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0784723063334373,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,Wang2020,one-arm (no within-study contrast),4,0,,,,,0,1,False,0.2164859945699518,rest
BEST4 Enterocytes,BEST4 enterocytes,featured,Yu2021,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0392361531667169,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,ALL (pooled),mixed,70,17,0.18134448557572372,-0.23956151269757495,0.6857531401201392,0.563804472090611,1,15,True,,
BEST4 Colonocytes,BEST4 colonocytes,featured,ArendsHelmsley,one-arm (no within-study contrast),0,3,,,,,0,1,False,-0.09063482118500803,full
BEST4 Colonocytes,BEST4 colonocytes,featured,BasuHelmsley,one-arm (no within-study contrast),5,0,,,,,0,1,False,0.574249532718349,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,Burclaff2022,one-arm (no within-study contrast),4,0,,,,,0,1,False,0.5459381772207508,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,Elmentaite2020,within-study,1,13,0.45704650502554606,,,,1,1,False,,
BEST4 Colonocytes,BEST4 colonocytes,featured,HamiltonHelmsley,one-arm (no within-study contrast),12,0,,,,,0,1,False,0.34674658763054267,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,Huang2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0392361531667169,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,James2020_5p,one-arm (no within-study contrast),0,1,,,,,0,1,False,-0.0392361531667169,full
BEST4 Colonocytes,BEST4 colonocytes,featured,Kong2023_v2,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.2284932458519845,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,Kong2023_v3,one-arm (no within-study contrast),20,0,,,,,0,1,False,-0.10581464581206106,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,Krzak2023,one-arm (no within-study contrast),12,0,,,,,0,1,False,0.15416792672618432,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,Lee2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.09895113473497315,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,Luoma2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,0.5100699911673381,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,Martin2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0784723063334373,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,Wang2020,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.0581670775970757,rest
BEST4 Colonocytes,BEST4 colonocytes,featured,Yu2021,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0392361531667169,rest
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,ALL (pooled),mixed,21,9,-0.007972882761821065,-0.7632797207863631,0.8229089958579929,0.5156983940653587,1,9,True,,
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,BasuHelmsley,one-arm (no within-study contrast),3,0,,,,,0,1,False,-0.0457755120278382,rest
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,Elmentaite2020,within-study,1,9,0.367116835678803,,,,1,1,False,,
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,HamiltonHelmsley,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.16021429209743296,rest
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,Kinchen2018,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.12508098056472017,rest
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,Kong2023_v2,one-arm (no within-study contrast),4,0,,,,,0,1,False,0.491207260544564,rest
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,Kong2023_v3,one-arm (no within-study contrast),4,0,,,,,0,1,False,0.603028181986233,rest
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,Lee2020,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.1831020481113521,rest
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,Martin2019,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0457755120278382,rest
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,Zheng2024,one-arm (no within-study contrast),2,0,,,,,0,1,False,1.3257459947956172,rest
Goblet Cells,Goblet cells,negative_control,ALL (pooled),mixed,70,17,-0.2627410012120709,-0.6760563316979965,0.26465097407739213,0.00271465278783155,1,15,True,,
Goblet Cells,Goblet cells,negative_control,ArendsHelmsley,one-arm (no within-study contrast),0,3,,,,,0,1,False,0.9823237871043923,full
Goblet Cells,Goblet cells,negative_control,BasuHelmsley,one-arm (no within-study contrast),5,0,,,,,0,1,False,-0.06952563225529106,rest
Goblet Cells,Goblet cells,negative_control,Burclaff2022,one-arm (no within-study contrast),4,0,,,,,0,1,False,0.7303379130034455,rest
Goblet Cells,Goblet cells,negative_control,Elmentaite2020,within-study,1,13,-0.06404764007888585,,,,1,1,False,,
Goblet Cells,Goblet cells,negative_control,HamiltonHelmsley,one-arm (no within-study contrast),12,0,,,,,0,1,False,0.29776436555536595,rest
Goblet Cells,Goblet cells,negative_control,Huang2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0392361531667169,rest
Goblet Cells,Goblet cells,negative_control,James2020_5p,one-arm (no within-study contrast),0,1,,,,,0,1,False,-0.0392361531667169,full
Goblet Cells,Goblet cells,negative_control,Kong2023_v2,one-arm (no within-study contrast),4,0,,,,,0,1,False,-0.2284932458519845,rest
Goblet Cells,Goblet cells,negative_control,Kong2023_v3,one-arm (no within-study contrast),20,0,,,,,0,1,False,0.3514754467298695,rest
Goblet Cells,Goblet cells,negative_control,Krzak2023,one-arm (no within-study contrast),12,0,,,,,0,1,False,0.6055096269098861,rest
Goblet Cells,Goblet cells,negative_control,Lee2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,1.3176555372931347,rest
Goblet Cells,Goblet cells,negative_control,Luoma2020,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0392361531667169,rest
Goblet Cells,Goblet cells,negative_control,Martin2019,one-arm (no within-study contrast),1,0,,,,,0,1,False,-0.0784723063334373,rest
Goblet Cells,Goblet cells,negative_control,Wang2020,one-arm (no within-study contrast),4,0,,,,,0,1,False,0.7465518786199744,rest
Goblet Cells,Goblet cells,negative_control,Yu2021,one-arm (no within-study contrast),2,0,,,,,0,1,False,-0.0392361531667169,rest
