celltype,short_name,role,unit,exclude_datasets,min_sample_cells,min_ct_cells,n_ids_A,n_ids_B,mean_CLR_A,mean_CLR_B,delta_CLR,ci_lo,ci_hi,p_value,n_datasets,id_col,left_out,analysis,delta_all,delta_shift,same_sign
Paneth Cells,Paneth cells,negative_control,sample,ArendsHelmsley,,,70,14,0.0009291404259093561,-0.2556535744782694,-0.2565827149041788,-0.3993279650837674,-0.12706023823394458,0.006597432168159329,14,sample_id,ArendsHelmsley,lodo,-0.22746175844066202,-0.029120956463516756,True
CD4 Tfr,Tfr,featured,sample,BasuHelmsley,,,35,11,-0.40083102977501456,-0.4430808599873679,-0.042249830212353345,-0.30771884088140633,0.217051060616047,0.3406490657696337,15,sample_id,BasuHelmsley,lodo,-0.08272730242480325,0.040477472212449905,True
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,BasuHelmsley,,,18,9,-0.08026249001317219,0.041974052121634936,0.12223654213480713,-0.27414195235928396,0.6046356132431185,0.979182108493039,8,sample_id,BasuHelmsley,lodo,0.11730983099404514,0.004926711140761986,True
Follicle Associated Resident Macrophages,FARM,featured,sample,BasuHelmsley,,,27,8,0.18556145062082355,-0.0832644329473761,-0.26882588356819964,-0.5069457005243536,-0.045486239116933024,0.572725166702605,13,sample_id,BasuHelmsley,lodo,-0.26718707527804736,-0.0016388082901522827,True
Tuft Progenitors,Tuft progenitors,featured,sample,BasuHelmsley,,,65,17,-0.023588340891772364,-0.09728411346556329,-0.07369577257379092,-0.2860417975229923,0.1458174680204321,0.020147488043855445,14,sample_id,BasuHelmsley,lodo,-0.08610899874308402,0.012413226169293093,True
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,BasuHelmsley,,,65,17,0.033562056006958635,0.2246964897124307,0.19113443370547206,-0.18792926546095343,0.6822488076374057,0.6370332052986083,14,sample_id,BasuHelmsley,lodo,0.15251389965465845,0.038620534050813615,True
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,BasuHelmsley,,,65,17,0.08490174561524139,0.3011996445554728,0.21629789894023144,-0.19848078990629747,0.6950174810018672,0.6460270232613562,14,sample_id,BasuHelmsley,lodo,0.18134448557572372,0.03495341336450772,True
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,BasuHelmsley,,,18,9,0.3384243954537451,0.2755658116231265,-0.0628585838306186,-0.7874276081870063,0.7040355103084818,0.5145664669155685,8,sample_id,BasuHelmsley,lodo,-0.007972882761821065,-0.05488570106879753,True
Goblet Cells,Goblet cells,negative_control,sample,BasuHelmsley,,,65,17,0.3874431519464413,0.09206152329138968,-0.29538162865505163,-0.7191879457882117,0.2366094435342131,0.002886716079104873,14,sample_id,BasuHelmsley,lodo,-0.2627410012120709,-0.03264062744298074,True
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,BasuHelmsley,,,65,17,0.30380152767654744,-0.08547995490896622,-0.38928148258551365,-0.7174253565481159,-0.01614427050103852,0.00014754303931969334,14,sample_id,BasuHelmsley,lodo,-0.36261525687609675,-0.026666225709416902,True
CD8 IEL,CD8 IEL,negative_control,sample,BasuHelmsley,,,35,11,0.5294253511510275,0.7772343645751548,0.2478090134241273,-0.5714245872447635,1.067460643725792,0.6246161620474684,15,sample_id,BasuHelmsley,lodo,0.2636890042559594,-0.015879990831832114,True
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,BasuHelmsley,,,27,8,-0.01788526950290054,0.05406210313613766,0.07194737263903819,-0.17927741994905105,0.3981588297269824,0.878814386536254,13,sample_id,BasuHelmsley,lodo,0.08277409732187474,-0.010826724682836547,True
Paneth Cells,Paneth cells,negative_control,sample,BasuHelmsley,,,65,17,-0.010552989193507693,-0.22653261801475266,-0.21597962882124497,-0.3566916357983582,-0.08869391657576822,0.012634230060132267,14,sample_id,BasuHelmsley,lodo,-0.22746175844066202,0.011482129619417053,True
CD4 Tfr,Tfr,featured,sample,Burclaff2022,,,36,11,-0.36035355756256465,-0.4430808599873679,-0.08272730242480325,-0.3749649095031201,0.19390055067300194,0.42860461811363637,16,sample_id,Burclaff2022,lodo,-0.08272730242480325,0.0,True
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,Burclaff2022,,,21,9,-0.0753357788724102,0.041974052121634936,0.11730983099404514,-0.2881189531582199,0.5728367449084697,1.0,9,sample_id,Burclaff2022,lodo,0.11730983099404514,0.0,True
Follicle Associated Resident Macrophages,FARM,featured,sample,Burclaff2022,,,31,8,0.18392264233067127,-0.0832644329473761,-0.26718707527804736,-0.503840500357906,-0.055344928865458,0.4935313166556319,14,sample_id,Burclaff2022,lodo,-0.26718707527804736,0.0,True
Tuft Progenitors,Tuft progenitors,featured,sample,Burclaff2022,,,66,17,0.00803783063651406,-0.09728411346556329,-0.10532194410207735,-0.3110975090530904,0.14096058948383766,0.008002367790798605,14,sample_id,Burclaff2022,lodo,-0.08610899874308402,-0.01921294535899333,True
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,Burclaff2022,,,66,17,0.08360967115515652,0.2246964897124307,0.14108681855727417,-0.24577820784778517,0.6337243595662173,0.4474347345704347,14,sample_id,Burclaff2022,lodo,0.15251389965465845,-0.011427081097384273,True
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,Burclaff2022,,,66,17,0.09403194575302168,0.3011996445554728,0.20716769880245114,-0.2320860537256216,0.635864635246352,0.5972335073220013,14,sample_id,Burclaff2022,lodo,0.18134448557572372,0.025823213226727426,True
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,Burclaff2022,,,21,9,0.28353869438494755,0.2755658116231265,-0.007972882761821065,-0.7632797207863631,0.8229089958579929,0.5156983940653587,9,sample_id,Burclaff2022,lodo,-0.007972882761821065,0.0,True
Goblet Cells,Goblet cells,negative_control,sample,Burclaff2022,,,66,17,0.3320428039883098,0.09206152329138968,-0.23998128069692015,-0.6822227455182723,0.2630567846245592,0.0023896538641395592,14,sample_id,Burclaff2022,lodo,-0.2627410012120709,0.02275972051515074,True
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,Burclaff2022,,,66,17,0.2894361829977047,-0.08547995490896622,-0.3749161379066709,-0.6825011848809599,0.02070661042134966,0.00010511284738200963,14,sample_id,Burclaff2022,lodo,-0.36261525687609675,-0.01230088103057414,True
CD8 IEL,CD8 IEL,negative_control,sample,Burclaff2022,,,36,11,0.5135453603191954,0.7772343645751548,0.2636890042559594,-0.5172139835858977,1.0143330654343206,0.6241149561615238,16,sample_id,Burclaff2022,lodo,0.2636890042559594,0.0,True
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,Burclaff2022,,,31,8,-0.02871199418573709,0.05406210313613766,0.08277409732187474,-0.14924476304135348,0.3728034311089708,0.773262288967739,14,sample_id,Burclaff2022,lodo,0.08277409732187474,0.0,True
Paneth Cells,Paneth cells,negative_control,sample,Burclaff2022,,,66,17,0.020875677006017137,-0.22653261801475266,-0.2474082950207698,-0.3806300508048233,-0.13229603538194096,0.0026939433130695085,14,sample_id,Burclaff2022,lodo,-0.22746175844066202,-0.019946536580107782,True
CD4 Tfr,Tfr,featured,sample,Dominguez2022,,,36,10,-0.36035355756256465,-0.40579532780237504,-0.045441770239810386,-0.33351769306230317,0.20960355047937973,0.2927564641060477,15,sample_id,Dominguez2022,lodo,-0.08272730242480325,0.037285532184992864,True
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,Dominguez2022,,,21,9,-0.0753357788724102,0.041974052121634936,0.11730983099404514,-0.2881189531582199,0.5728367449084697,1.0,9,sample_id,Dominguez2022,lodo,0.11730983099404514,0.0,True
Follicle Associated Resident Macrophages,FARM,featured,sample,Dominguez2022,,,31,8,0.18392264233067127,-0.0832644329473761,-0.26718707527804736,-0.503840500357906,-0.055344928865458,0.4935313166556319,14,sample_id,Dominguez2022,lodo,-0.26718707527804736,0.0,True
Tuft Progenitors,Tuft progenitors,featured,sample,Dominguez2022,,,70,17,-0.011175114722479267,-0.09728411346556329,-0.08610899874308402,-0.2859813184013487,0.1557583521954619,0.013652558439160772,15,sample_id,Dominguez2022,lodo,-0.08610899874308402,0.0,True
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,Dominguez2022,,,70,17,0.07218259005777225,0.2246964897124307,0.15251389965465845,-0.24505356385239155,0.6001040442292266,0.526811668941976,15,sample_id,Dominguez2022,lodo,0.15251389965465845,0.0,True
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,Dominguez2022,,,70,17,0.1198551589797491,0.3011996445554728,0.18134448557572372,-0.23956151269757495,0.6857531401201392,0.563804472090611,15,sample_id,Dominguez2022,lodo,0.18134448557572372,0.0,True
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,Dominguez2022,,,21,9,0.28353869438494755,0.2755658116231265,-0.007972882761821065,-0.7632797207863631,0.8229089958579929,0.5156983940653587,9,sample_id,Dominguez2022,lodo,-0.007972882761821065,0.0,True
Goblet Cells,Goblet cells,negative_control,sample,Dominguez2022,,,70,17,0.35480252450346056,0.09206152329138968,-0.2627410012120709,-0.6760563316979965,0.26465097407739213,0.00271465278783155,15,sample_id,Dominguez2022,lodo,-0.2627410012120709,0.0,True
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,Dominguez2022,,,70,17,0.27713530196713054,-0.08547995490896622,-0.36261525687609675,-0.68213573838832,0.02049478456651056,0.00013480786442301957,15,sample_id,Dominguez2022,lodo,-0.36261525687609675,0.0,True
CD8 IEL,CD8 IEL,negative_control,sample,Dominguez2022,,,36,10,0.5135453603191954,0.9365514192164,0.42300605889720455,-0.390155518090121,1.244098037176985,0.37224170315046146,15,sample_id,Dominguez2022,lodo,0.2636890042559594,0.15931705464124513,True
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,Dominguez2022,,,31,8,-0.02871199418573709,0.05406210313613766,0.08277409732187474,-0.14924476304135348,0.3728034311089708,0.773262288967739,14,sample_id,Dominguez2022,lodo,0.08277409732187474,0.0,True
Paneth Cells,Paneth cells,negative_control,sample,Dominguez2022,,,70,17,0.0009291404259093561,-0.22653261801475266,-0.22746175844066202,-0.36717678324141284,-0.10139192592892166,0.007858905395042054,15,sample_id,Dominguez2022,lodo,-0.22746175844066202,0.0,True
CD4 Tfr,Tfr,featured,sample,Elmentaite2020,,,35,3,-0.40083102977501456,-0.6414899302406738,-0.24065890046565924,-0.5112292574990155,0.02228534482275075,0.7866365524150647,15,sample_id,Elmentaite2020,lodo,-0.08272730242480325,-0.157931598040856,True
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,Elmentaite2020,,,20,0,-0.07452501661324688,,,,,,8,sample_id,Elmentaite2020,lodo,0.11730983099404514,,False
Follicle Associated Resident Macrophages,FARM,featured,sample,Elmentaite2020,,,31,5,0.18392264233067127,-0.08563981159367244,-0.2695624539243437,-0.4920726162830957,-0.06448440205852624,0.5452282790944626,13,sample_id,Elmentaite2020,lodo,-0.26718707527804736,-0.0023753786462963333,True
Tuft Progenitors,Tuft progenitors,featured,sample,Elmentaite2020,,,69,4,-0.010768433005896116,0.4715209901536196,0.48228942315951573,-0.11189378756401928,1.0638793956647254,0.31812974431681407,14,sample_id,Elmentaite2020,lodo,-0.08610899874308402,0.5683984219025997,False
BEST4 Enterocytes,BEST4 enterocytes,featured,sample,Elmentaite2020,,,69,4,0.07379735445233006,-0.07778515418043525,-0.1515825086327653,-0.32224345749203887,0.008640091668074027,0.6631966300251744,14,sample_id,Elmentaite2020,lodo,0.15251389965465845,-0.30409640828742374,False
BEST4 Colonocytes,BEST4 colonocytes,featured,sample,Elmentaite2020,,,69,4,0.12216083017027757,-0.07778515418043525,-0.1999459843507128,-0.3599229017418169,-0.05482398273051129,0.5187697924137235,14,sample_id,Elmentaite2020,lodo,0.18134448557572372,-0.38129046992643656,False
Lamina propria Fibroblasts (S1),S1 fibroblasts,negative_control,sample,Elmentaite2020,,,20,0,0.3022931803069787,,,,,,8,sample_id,Elmentaite2020,lodo,-0.007972882761821065,,False
Goblet Cells,Goblet cells,negative_control,sample,Elmentaite2020,,,69,4,0.3605132299769414,0.726933802036615,0.36642057205967354,-0.5829934817897698,1.8939380839424254,0.9699283025953545,14,sample_id,Elmentaite2020,lodo,-0.2627410012120709,0.6291615732717444,False
Villus Tip Enterocytes,Villus-tip enterocytes,negative_control,sample,Elmentaite2020,,,69,4,0.28172039551979494,-0.07778515418043525,-0.3595055497002302,-0.5903522361795579,-0.1602336298325679,0.21801550354122123,14,sample_id,Elmentaite2020,lodo,-0.36261525687609675,0.0031097071758665606,True
CD8 IEL,CD8 IEL,negative_control,sample,Elmentaite2020,,,35,3,0.5294253511510275,-0.6414899302406738,-1.1709152813917014,-1.6197432374035121,-0.738180130597578,0.11642707324376561,15,sample_id,Elmentaite2020,lodo,0.2636890042559594,-1.4346042856476608,False
Homeostatic Macrophages,Homeostatic mac.,negative_control,sample,Elmentaite2020,,,31,5,-0.02871199418573709,-0.08563981159367244,-0.05692781740793535,-0.184836276748394,0.0480263703030574,0.8781592057791109,13,sample_id,Elmentaite2020,lodo,0.08277409732187474,-0.13970191472981008,False
Paneth Cells,Paneth cells,negative_control,sample,Elmentaite2020,,,69,4,-0.014410671096923743,-0.07778515418043525,-0.0633744830835115,-0.19192354491641245,0.047837181183850656,0.8921564671598184,14,sample_id,Elmentaite2020,lodo,-0.22746175844066202,0.1640872753571505,True
CD4 Tfr,Tfr,featured,sample,HamiltonHelmsley,,,30,11,-0.3006116906412595,-0.4430808599873679,-0.14246916934610843,-0.453509337844027,0.1472976258470534,0.5268874816698277,15,sample_id,HamiltonHelmsley,lodo,-0.08272730242480325,-0.059741866921305176,True
Medullary Sinus Endothelial,Med. sinus endo.,featured,sample,HamiltonHelmsley,,,19,9,-0.06640119853293412,0.041974052121634936,0.10837525065456906,-0.3020105424957279,0.5515185154788395,1.0,8,sample_id,HamiltonHelmsley,lodo,0.11730983099404514,-0.008934580339476084,True
Follicle Associated Resident Macrophages,FARM,featured,sample,HamiltonHelmsley,,,31,8,0.18392264233067127,-0.0832644329473761,-0.26718707527804736,-0.503840500357906,-0.055344928865458,0.4935313166556319,14,sample_id,HamiltonHelmsley,lodo,-0.26718707527804736,0.0,True
Tuft Progenitors,Tuft progenitors,featured,sample,HamiltonHelmsley,,,58,17,-0.0006541776500281171,-0.09728411346556329,-0.09662993581553517,-0.3015577163948063,0.15579084248541503,0.015341531138684689,14,sample_id,HamiltonHelmsley,lodo,-0.08610899874308402,-0.01052093707245115,True
