celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj,analysis_type
CD4 tTreg,lymphoid,False,105,40,0.19708007002610317,-0.17646583417994505,-0.3735459042060482,0.006828038981894546,0.017237000510244727,1.7635383055173244,inferential
CD4 Tfh,lymphoid,True,105,40,0.7225957073123457,0.15958078670324163,-0.5630149206091041,0.007105785115678109,0.017237000510244727,1.7635383055173244,inferential
Foveolar Cells,epithelial,False,85,32,-1.1790395292070133,-0.8689245772727998,0.31011495193421346,0.007201951901200409,0.017237000510244727,1.7635383055173244,inferential
Brunners Gland Cells,epithelial,False,85,32,-1.129660682763933,-0.8689245772727998,0.26073610549113324,0.007334893834146692,0.017237000510244727,1.7635383055173244,inferential
Paneth Cells,epithelial,False,85,32,-1.1579600060396245,-0.8689245772727998,0.28903542876682464,0.010873954607137958,0.024930530074901657,1.6032684873944452,inferential
Mid Crypt Colonocytes,epithelial,False,85,32,1.1949247251400783,1.9388168117534605,0.7438920866133822,0.011660176525502148,0.026096585557076238,1.5834163114634414,inferential
Mesenchymal Lymphoid Tissue Organizer Cells (mLTo Cells),stroma,True,47,32,-0.8668587369915298,-0.5025429703003861,0.36431576669114374,0.017699078754244712,0.038691009369744254,1.4123899402712061,inferential
CD4 pTreg,lymphoid,False,105,40,-0.11541896548893733,-0.3928969578515448,-0.2774779923626075,0.021807221873995187,0.04658815582171699,1.3317244806293442,inferential
Neutrophils,myeloid,False,72,35,-0.7716885654982081,-0.51742988282615,0.2542586826720581,0.022908200856957505,0.047852686234533454,1.320093677864357,inferential
BEST4 Enterocytes,epithelial,False,85,32,-1.1124164647348256,-0.8129320938594231,0.2994843708754025,0.023484911026286505,0.047990905140672425,1.3188410589049966,inferential
CD8 Effector Memory,lymphoid,False,105,40,0.430584107772981,0.008630657341617987,-0.421953450431363,0.028703184192309564,0.05740636838461913,1.241039926401968,inferential
Plasma Cells,lymphoid,False,105,40,0.8718427238910331,0.025538140089441674,-0.8463045838015915,0.03103894770498289,0.060784605922258164,1.2162063945681518,inferential
Enteroendocrine Cells (EEC),epithelial,False,85,32,-1.1090319697648046,-0.8689245772727998,0.24010739249200475,0.03360185674523568,0.06446070477657456,1.1907049504696035,inferential
Fibroblastic Reticular Cells (FRC),stroma,True,47,32,-0.8435965593842358,-0.5871695390848302,0.2564270202994057,0.03641839549518366,0.06846658353094527,1.1645213428012506,inferential
EEC S,epithelial,False,85,32,-1.049177895232659,-0.803942029095305,0.24523586613735393,0.039048870989733,0.0719724288830373,1.142833840751428,inferential
Contractile Pericytes,stroma,False,47,32,-0.04297522415311717,0.48537792488521136,0.5283531490383285,0.04212284432566822,0.07614514166563101,1.1183578009965847,inferential
Tolerogenic cDC2,myeloid,False,72,35,-0.5117426989912869,-0.29285316689837376,0.21888953209291312,0.04663877819742833,0.0827178330294012,1.0824008513741716,inferential
Epithelial,epithelial,False,85,32,-0.9924266083273303,-0.8472637278803015,0.14516288044702885,0.05147548318623637,0.08960547073159664,1.0476654743109317,inferential
Transiently Amplifying Cells (TA),epithelial,False,85,32,0.830398625628424,0.3629017655846667,-0.46749686004375735,0.052957748632035485,0.09050960675293337,1.043305322028364,inferential
GC B Dark Zone (GC B DZ),lymphoid,True,105,40,-1.0417849979078007,-0.7579458378260459,0.2838391600817548,0.05685552249286124,0.09543605561301707,1.0202875184251043,inferential
cDC2,myeloid,False,72,35,0.9433992891212688,0.5695186442168679,-0.37388064490440087,0.06726196219062364,0.11092323589330914,0.9549774695115075,inferential
Eosinophils,myeloid,False,72,35,-0.717921884791154,-0.5372340879850056,0.18068779680614844,0.07129983185574813,0.11555489990414353,0.9372116342937974,inferential
EEC Progenitors,epithelial,False,85,32,-0.4004265896988447,-0.5733870632131839,-0.17296047351433919,0.0798034176968685,0.12668190805521978,0.8972854040022684,inferential
EEC N,epithelial,False,85,32,-1.0242860224579449,-0.7912712444669248,0.2330147779910201,0.0808607923756722,0.12668190805521978,0.8972854040022684,inferential
Secretory Pericytes,stroma,False,47,32,-0.3060054808651444,-0.6284744090842777,-0.32246892821913326,0.08314867948987137,0.1281307520007854,0.8923466249669678,inferential
Mature Goblet Cells,epithelial,False,85,32,-0.19152126033854253,0.2571682206350455,0.4486894809735881,0.11822303602754465,0.17924137720305158,0.7465617278398471,inferential
CD8 Circulating Effector Memory,lymphoid,False,105,40,0.7505315049568412,0.48768089907976203,-0.26285060587707915,0.1264127547930698,0.18861585635791364,0.7244218002557393,inferential
Nonclassical Monocytes,myeloid,False,72,35,-0.5909190991040479,-0.42847230256299634,0.1624467965410516,0.13413662912962387,0.19701317403413507,0.7055047321174269,inferential
GC B Light Zone (GC B LZ),lymphoid,True,105,40,-1.1305469144639295,-0.8785158017414005,0.252031112722529,0.1682048718779311,0.24325012240808494,0.6139469325143178,inferential
Crypt Top Colonocytes,epithelial,False,85,32,2.051070294708601,2.511016786988761,0.45994649228016016,0.20019191312494422,0.2851218156627993,0.5449695520363729,inferential
Mid Villus Enterocytes,epithelial,False,85,32,-0.8694637830544734,-0.8689245772727998,0.0005392057816735463,0.21114175218449127,0.2962287269454057,0.5283728278238555,inferential
cDC1,myeloid,False,72,35,-0.0525624810575787,-0.15670977012894555,-0.10414728907136685,0.22033955296866603,0.3045870291037442,0.5162885951188624,inferential
NK Cells,lymphoid,False,105,40,-0.7145432109858685,-0.36076043575711286,0.3537827752287556,0.23145409746025514,0.315314277699478,0.5012563635822306,inferential
Classical Monocytes,myeloid,False,72,35,0.5931031519293107,0.8395407327266132,0.2464375807973025,0.2397678373275307,0.3219739529826841,0.4921792603955964,inferential
