hgca_celltype_level1,hgca_celltype_level2,hgca_celltype_level3,hgca_celltype_level4,hgca_celltype_level5,hgca_celltype_v1,hgca_celltype_v0,Markers,Negative markers (careful if QC differences change presence),Comments,"please add 👍 if you agree with the cell type label and marker genes, otherwise add comment","""True"" if disagreement, here we track if we had any disagreement on the labels, because it may help point us to interesting areas for analysis",Other names for the same thing,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,cell_ontology_fillins
Stromal,Glia,Extra Ganglionic Glia,Mucosal Glia,,Mucosal Glia,Glia Mucosal/Type III,"RELN, MBP, PLLP",,AA - added further splits,,,,CL:4047045,type 3 mucosal glia,TBC,,Add new term: mucosal glia type 3 https://github.com/obophenotype/cell-ontology/issues/2889,CL:0000125
Stromal,Glia,Extra Ganglionic Glia,Muscularis propria Glia,,Muscularis propria Glia,Glia Muscularis propria/Type IV,"SLC5A7, APOD, KCNS3",,AA - added further splits,,,,CL:4047048,type 4 muscularis propria glia,TBC,,Add new term: muscularis propria glia type 4,CL:0000125
Stromal,Smooth Muscle Cells (SMC),,,,Smooth Muscle Cells (SMC),Smooth Muscle Cells (SMC),"DES,TAGLN, MYH11, ACTG2",,"AA - suggest a split into inner and outer muscle cells. 
VG: same markers as myofibroblasts. How could we differentiate both cell types? Is it possible to do so by single cell? 
RZ-added marker for muscular cells",,,,CL:0000192,smooth muscle cell ,UBERON:8600004,visceral muscle tissue,https://github.com/obophenotype/cell-ontology/issues/2839,CL:0000192
Stromal,Smooth Muscle Cells (SMC),Vascular SMCs (vSMC),,,Vascular SMCs (vSMC),,,,,,,,,,,,,
Stromal,Smooth Muscle Cells (SMC),Outer SMCs,,,Outer SMCs,SMC Outer Muscle Cells,,FOXF2,,,,,,,UBERON:8600004,visceral muscle tissue,Add new term: smooth outer muscle celll https://github.com/obophenotype/cell-ontology/issues/2838,CL:0000192
Stromal,Smooth Muscle Cells (SMC),Inner SMCs,,,Inner SMCs,SMC Inner Muscle Cells,"FOXF2, MORN5",,,,,,,,UBERON:8600004,visceral muscle tissue,Add new term: smooth inner muscle celll https://github.com/obophenotype/cell-ontology/issues/2842,CL:0000192
Stromal,Adipocytes,,,,Adipocytes,Adipocytes,"PLIN1, LPL",,"VG: not much experience with them, but we might see them if whole thickness samples are integrated?",,,,CL:0000136,adipocyte,,,,CL:0000136
Lymphoid,,,,,Lymphoid,Lymphoid,,,,,,,CL:0001065,Innate lymphoid cell,TBC,,,CL:0001065
Lymphoid,B Cells,,,,B Cells,B Cell Lineage,"MS4A1, CD79A, IGHD, IGLC2, IGKC, CD19",,"Group discussion: IGKC subtypes often present, Subcluster by heavy chain first and then light chain?",,,,CL:0000236,B cell,TBC,,,CL:0000236
Lymphoid,B Cells,Plasma Cells,,,Plasma Cells,Plasma Cells,IG... JCHAIN,,RZ-added marker,,,,CL:0000786,plasma cell,TBC,,,CL:0000786
Lymphoid,B Cells,Plasma Cells,IGA,,Plasma IGA,Plasma IGA,IGHA..,,"KK - collapsed IGA.IGK and IGA.IGL into IGA, because most groups only annotate IGA together",,,,CL:0000987,IgA plasma cell,TBC,,,CL:0000987
Lymphoid,B Cells,Plasma Cells,IGE,,Plasma IGE,Plasma IGE,IGHE..,,,,,,CL:0000947,IgE plasma cell,TBC,,,CL:0000947
Lymphoid,B Cells,Plasma Cells,IGG,,Plasma IGG,Plasma IGG,IGHG..,,,,,,CL:0000985,IgG plasma cell ,TBC,,,CL:0000985
Lymphoid,B Cells,Plasma Cells,IGM,,Plasma IGM,Plasma IGM,IGHM,,,,,,CL:0000986,IgM plasma cell,TBC,,,CL:0000986
Lymphoid,B Cells,Germinal Center B Cells (GC B),,,Germinal Center B Cells (GC B),GC B Germinal Center,,,,,,,CL:0000844,germinal center B cell,TBC,,,CL:0000844
Lymphoid,B Cells,Germinal Center B Cells (GC B),Dark Zone,,GC B Dark Zone (GC B DZ),GC B Dark Zone,"CXCR4, AICDA, RGS13, NEIL1, BCL7A",,synonyms: centroblast,,,,CL:0009112,centroblast,TBC,,Add new term: germinal center dark zone B cell ,CL:0009112
Lymphoid,B Cells,Germinal Center B Cells (GC B),Light Zone,,GC B Light Zone (GC B LZ),GC B Light Zone,"BANK1, TNFRSF13C, CD83",,synonyms: centrocyte,,,,CL:0009111,centrocyte,TBC,,Add new term: germinal center light zone B cell ,CL:0009111
Lymphoid,B Cells,Memory B Cells,,,Memory B,B Memory,"CD69, SELL, CD27, HLA-DRA",,"RZ-colonic memory B (SOX5+),",,,,CL:0000787,memory B  cell,TBC,,,CL:0000787
Lymphoid,B Cells,Naive B Cells,,,Naive B,B Naive,"IGHM, IGHD",CD27,"AA - suggest to split B-cells into naive and memory - cd27+/-, should split up naturally into clusters in the data
JC - In my experience, IGHD+ is also a pretty good marker",,,,CL:0000788,naive B cell ,TBC,,,CL:0000788
Lymphoid,B Cells,Atypical B Cells,,,Atypical B,B Atypical,"FCRL4, ITGAX",,"AA- added, should see more in older patients",,,,,,TBC,,Add new term: atypical B cells,CL:0000236
Lymphoid,B Cells,Marginal zone B cells (MZB),,,Marginal zone B (MZB),B Marginal zone (MZB),"PRBM1,XBP1",,RZ-added,,,,CL:0009060,marginal B cell of lymph node,TBC,,Is a more generic term needed? Do we need specific MZB cells for different sections of the gut or do MZB only exist in spleen?,CL:0000845
Lymphoid,B Cells,Cycling B cells,,,Cycling B,B Cycling,"MKI67, HMGB2, BCL6, TUBA1A",,RZ-added,,,,CL:4033068,cycling b cell,TBC,,https://github.com/obophenotype/cell-ontology/issues/2354,CL:4033068
Lymphoid,T Cells,,,,T Cells,T Cells,"TRAC, CD3D, CD3E",,"AA - suggest T-cell split into CD4, CD8 and unconventional, TRAC only a marker for a/b T-cells",,,,CL:0000084,T cell,TBC,,,CL:0000084
Lymphoid,T Cells,CD4 T Cells,,,CD4 T Cells,CD4 T,CD4,,,,,,CL:0000624,"CD4-positive,alpha-beta T cell",TBC,,,CL:0000624
Lymphoid,T Cells,CD4 T Cells,CD4 Tfh,,CD4 Tfh,CD4 Tfh,"BCL6, CXCR5, CD40LG, CXCL13",,,,,,CL:0002038,T follicular helper cell,TBC,,,CL:0009062
Lymphoid,T Cells,CD4 T Cells,CD4 Th1,,CD4 Th1,CD4 Th1,"CD4, TBX21, IFNG, TNF",,,,,,CL:0000545,T-helper 1 cell,TBC,,,CL:0000545
Lymphoid,T Cells,CD4 T Cells,CD4 Th17,,CD4 Th17,CD4 Th17,"RORC, IL17A, IL22, IL21, CSF2,IL23R",,,,,,CL:0000899,T-helper 17 cell,TBC,,,CL:0000899
Lymphoid,T Cells,CD4 T Cells,CD4 Th2,,CD4 Th2,CD4 Th2,"GATA3, IL4, IL10, IL13",,,,,,CL:0000546,T-helper 2 cell,TBC,,,CL:0000546
Lymphoid,T Cells,CD4 T Cells,CD4 Tr1,,CD4 Tr1,,"IL10, TGFB, TBX21",,,,,,CL:0000815,regulatory T cell,TBC,,,
Lymphoid,T Cells,CD4 T Cells,Treg,,CD4 Treg,CD4 Treg,"IL2RA, FOXP3, CTLA4,  PDCD1, TIGIT, ICOS",,,,,,CL:0000815,regulatory T cell,TBC,,,CL:0001048
Lymphoid,T Cells,CD4 T Cells,Treg,Follicular Regulatory T (Tfr),CD4 Tfr,,"CXCR5, IL10, BCL6, FOXP3, IL2RA",,10.1038/s41590-019-0472-4,,,,,,,,,
Lymphoid,T Cells,CD4 T Cells,Treg,Peripherally Derived Treg (pTreg),CD4 pTreg,,"IL1R1, RORC, IL10",,,,,,,,,,,
Lymphoid,T Cells,CD4 T Cells,Treg,Thymus Derived Treg (tTreg),CD4 tTreg,,"IKZF2, GATA3",,,,,,,,,,,
Lymphoid,T Cells,CD4 T Cells,CD4 Naive,,CD4 Naive,CD4 Naive,"CD4, CCR7, LEF1, IL7R, KLF2, S1PR5, SELL",,,,,,CL:0000898,Naive T cell ,TBC,,,CL:0000898
Lymphoid,T Cells,CD4 T Cells,CD4 Memory,,CD4 Memory,CD4 Memory,,,,,,,CL:0000897,"CD4-positive, alpha-beta memory T cell",,,,CL:0000897
Lymphoid,T Cells,CD8 T Cells,,,CD8 T Cells,CD8 T,"CD8A, CD8B",,,,,,CL:0000625,"CD8-positive, alpha beta T cell",TBC,,,CL:0000625
Lymphoid,T Cells,CD8 T Cells,CD8 Effector Memory,,CD8 Effector Memory,CD8 Effector/Memory,"IL2, GZMA, GZMK, GZMB, KLRG1",,,,,,CL:0001062,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",TBC,,,CL:0001062
Lymphoid,T Cells,CD8 T Cells,CD8 Circulating Effector Memory,,CD8 Circulating Effector Memory,CD8 Circulating Effector/Memory,"FGFBP2, CX3CR1, GZMH, GZMK",,"AA - added, though probably needs a better name",,,,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",TBC,,Add new term,CL:0000913
Lymphoid,T Cells,CD8 T Cells,CD8 Memory Exhausted,,CD8 Memory Exhausted,CD8 Memory/Exhausted,"LAG3, HAVCR2, PDCD1, LAYN, CTLA4, BATF",,,,,,CL:0011025,exhausted T cell,TBC,,Add new term,CL:0011025
Lymphoid,T Cells,CD8 T Cells,CD8 Resident Memory T cells (TRM),,CD8 TRM,CD8 TRM,"CD8A, CD8B, ITGAE, CD69,ITGA1,RORA",,RZ-added markers,,,,CL:0002128,Tissue resident memory cell,TBC,,New term request  - needs expert input to discussion: https://github.com/obophenotype/cell-ontology/issues/2905#issuecomment-2591704338,CL:0000915
Lymphoid,T Cells,CD8 T Cells,CD8 IEL,,CD8 IEL,CD8 IEL,"ITGAE, CD160, KLRC2, KIR2DL4, NCR1, NCR2, NCR3, CD7, CD244 (2B4)",,AA - most of these will be gamma-deltas - maybe combine categories?                                RBC: I wouldn't do that. IELs include also CD8 T cells and ILCs. I added some markers,,,,CL:0002496,Intraepithelial lymphocyte,TBC,,,CL:0002496
Lymphoid,T Cells,CD8 T Cells,CD8 Naive,,CD8 Naive,CD8 Naive,"CD8A, LEF1, CCR7",,,,,,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",TBC,,,CL:0000900
Lymphoid,T Cells,CD8 T Cells,CD8 Tc17,,CD8 Tc17,CD8 Tc17,"IL17A, IL23R, LAYN, IFNG",,AA- added Tc17s,,,,CL:0001052,"CD8-positive, CXCR3-negative, CCR6-negtive, alpha-beta T cell",TBC,,,CL:0001052
Lymphoid,T Cells,CD8 T Cells,CD8 Memory,,CD8 Memory,CD8 Memory,,,,,,,CL:0000909,"CD8-positive, alpha-beta memory T cell",,,,CL:0000909
Lymphoid,T Cells,Unconventional T Cells,,,Unconventional T Cells,T Unconventional,,,,,,,,,TBC,,,CL:0000084
Lymphoid,T Cells,Unconventional T Cells,Gamma Delta T Cells,,Gamma Delta T Cells,T GammaDelta,"TRGC1, TRDC, TRDV1, TRDV2, TRDV3, KLRK1",,AA - split gamma deltas into their subtypes. Too fine maybe? They can cluster that way though,,,,CL:0000798,gamma-delta T cell,TBC,,https://github.com/obophenotype/cell-ontology/issues/2828,CL:0000798
Lymphoid,T Cells,Unconventional T Cells,Mucosa Associated Invariant T cells (MAIT),,MAIT Cells,T MAIT,"LGALS3, ZBTB16, TRAV1-2, TRAJ33",,,,,,CL:0000940,mucosal invariant T cell ,TBC,,,CL:0000940
Lymphoid,T Cells,Unconventional T Cells,NK T Cells,,NKT Cells,T NKT,"FCER1G, HOPX, TRAV24",,"AA - moved under unconventional. Really rare though, would be surprised to get a cluster ",,,,CL:0000814,mature NK T cell,TBC,,,CL:0000814
Lymphoid,T Cells,Cycling,,,Cycling T Cells,T Cycling,"MKI67, STMN1, TOP2A",,,,,,CL:4033069,cycling T cell,TBC,,cycling cells arent a grouping term in CL ,CL:4033069
Lymphoid,Innate Lymphoid Cells (ILC),,,,Innate Lymphoid Cells (ILC),ILC,"CTSW, KLRF1, KLRD1, KIT, NCR2",,,,,,CL:0001065,innate lymphoid cell,TBC,,,CL_0001065
Lymphoid,Innate Lymphoid Cells (ILC),NK Cells,,,NK Cells,ILC NK Cells,"GNLY, EOMES, PRF1, NKG7",,RBC: separate furhter in CD16- and CD16+?,,,,CL:0000623,natural killer cell ,TBC,,,CL:0000623
Lymphoid,Innate Lymphoid Cells (ILC),ILC1,,,ILC1,ILC1,,,might be not detectable,,,,CL:0001068,ILC1,TBC,,,CL:0001068
Lymphoid,Innate Lymphoid Cells (ILC),ILC2,,,ILC2,ILC2,"CRTH2, GATA3, PTGDR2, HPGDS, IL1RL1, KRT1",,might be not detectable.  RBC- In fetal sampels,,,,CL:0001081,group 2 innate lymphoid cell,TBC,,,CL:0001081
Lymphoid,Innate Lymphoid Cells (ILC),ILC3,,,ILC3,ILC3,"KRT86, RORC, IL7R",,RBC: include LTi-like ILC3s?,,,,CL:0001078,group 3 innate lymphoid cell,TBC,,,CL:0001078
Lymphoid,Innate Lymphoid Cells (ILC),ILC Progenitor,,,ILC Progenitor,ILC Progenitor,,,,,,,CL:0001072,"CD34-negative, CD117-positive innate lymphoid cell, human",TBC,,Add synonym: ILC progenitor,CL:0001072
Myeloid,,,,,Myeloid,Myeloid,"C1QB, C1QA, CXCL5",,,,,,CL:0000763,myeloid cell,TBC,,,CL:0000763
Myeloid,Monocytes,,,,Monocytes,Monocytes,"CD14, LYST, AREG, PLAUR, CD300E",,,,,,CL:0000576,monocyte,TBC,,,CL:0000576
Myeloid,Monocytes,Classical Monocytes,,,Classical Monocytes,,"VCAN, FCN1, S100A8, S100A9",,,,,,CL:0000576,monocyte,TBC,,,CL:0000576
Myeloid,Monocytes,Nonclassical Monocytes,,,Nonclassical Monocytes,,"FCGR3A, CX3CR1",,,,,,CL:0000576,monocyte,TBC,,,CL:0000576
Myeloid,Macrophages,,,,Macrophages,Macrophages,"NRG1, KLF4, GPR183, C1QB, CCL3L3, MS4A6A, MS4A7, CXCL2",,,,,,CL:0000235,macrophage,TBC,,,CL:0000235
Myeloid,Macrophages,Cycling Macrophages,,,Cycling Macrophages,Macrophages Cycling,"STMN1, C1Q*",,,,,,CL:4033076,cycling macrophage,TBC,,Add new term: cycling macrophage https://github.com/obophenotype/cell-ontology/issues/2354,CL:4033076
Myeloid,Macrophages,Tissue Resident Macrophages,,,Tissue Resident Macrophages,Macrophages Tissue Resident,"C1QA, C1QB, C1QC, SELENOP","lack CD209, FOLR2 and CD163L1 expression","VG: suggested annotation name: M0
RZ: agree with VG for adding M0",,,,CL:0000864,tissue resident macrophage,TBC,,,CL:0000864
Myeloid,Macrophages,Tissue Resident Macrophages,Mucosal Resident Macrophages,,Mucosal Resident Macrophages,,"C1QA, C1QB, C1QC, SELENOP, CD163L1, FOLR2, CD209","lack C1QB, C1QC","VG: suggested annotation name: M0
RZ: agree with VG for adding M0",,,,CL:0000864,tissue resident macrophage,TBC,,,CL:0000864
Myeloid,Macrophages,Tissue Resident Macrophages,Mucosal Resident Macrophages,Homeostatic Macrophages,Homeostatic Macrophages,,"C1QA, C1QB, C1QC, FOLR2, CD209, CD163L1",,,,,,,,,,,
Myeloid,Macrophages,Tissue Resident Macrophages,Mucosal Resident Macrophages,M0 Macrophages,M0 Macrophages,,"C1QA, C1QB, C1QC","FOLR2, CD209, CD163L1",,,,,,,,,,
Myeloid,Macrophages,Tissue Resident Macrophages,Perivascular Resident Macrophages (PVM),,Perivascular Resident Macrophages,,"C1QA, C1QB, C1QC, LYVE1, COLEC12",,"VG: suggested annotation name: M0
RZ: agree with VG for adding M0",,,,,,,,,
Myeloid,Macrophages,Tissue Resident Macrophages,Follicle Associated Resident Macrophages,,Follicle Associated Resident Macrophages,Macrophages M2,"PLA2G2D, PTGDS, MMP9",,Consider continous development between Macrophage subtypes,,,,,,,,,
Myeloid,Macrophages,M1,,,M1 Macrophages,Macrophages M1,"TNF, CLL2, CLL3, IL1B",,"RZ-added, rare in non-IBD controls",,,,,,,,,
Myeloid,Dendritic Cells,,,,Dendritic Cells (DC),Dendritic Cells (DC),"CCR7, CCL22, LAMP3, IDO1, ITGAX, CD207, FSCN1",,RBC: add pre-cDCs?,,,,CL:0000451,dendritic cell,TBC,,,CL:0000451
Myeloid,Dendritic Cells,Migratory Dendritic Cells (migDC),,,migDC,DC migDC,"LAMP3, IDO1, CCR7, CD40",,RBC: added migratory DC (mature DC migrating to the lymph nodes),,,,,,,,"KK - this is a commonly used label in gut bio, please add a new term",CL:0000451
Myeloid,Dendritic Cells,Conventional Dendritic Cells Type 1 (cDC1),,,cDC1,DC cDC1,"CLEC9A, C1orf54, XCR1, DNASE1L3, SHTN1",,,,,,CL:0000990,conventional dendritic cell ,TBC,,,CL:0000990
Myeloid,Dendritic Cells,Conventional Dendritic Cells Type 2 (cDC2),,,cDC2,DC cDC2,"CD1C, TCTN3, FCER1A, CLEC10A, SPI1, SIRPA",,"RBC - add DC3s? (CD1C, CLEC10A, FCER1A)",,,,CL:0002465,CD11b-positive dendritic cell,TBC,,Add synonym: cDC2,CL:0002465
Myeloid,Dendritic Cells,Conventional Dendritic Cells Type 2 (cDC2),Tolerogenic DC,,Tolerogenic cDC2,,ALDH1A2,,"RBC - add DC3s? (CD1C, CLEC10A, FCER1A)",,,,CL:0002465,CD11b-positive dendritic cell,TBC,,Add synonym: cDC2,CL:0002465
Myeloid,Dendritic Cells,Plasmacytoid Dendritic Cells (pDC),,,pDC,DC pDC,"LILRA4, PLD4, IL3RA, CLIC3, CLEC4C",,,,,,CL:0000784,plasmacytoid dendritic cell ,TBC,,,CL:0000784
Myeloid,Dendritic Cells,"Monocyte Derived Dendritic Cells
(MO DC)",,,Monocyte Derived Dendritic Cells (MO DC),"DC Monocyte derived dendritic cell
(MO DC)","MSR1, NPR2",,RZ-added,,,,CL:0011031,monocyte-derived dendritic cell ,TBC,,,CL:0011031
Myeloid,Granulocytes,,,,Granulocytes,Granulocytes,"CLC, IL4, CPA3, FCGR2B",,,,,,CL:0000094,granulocyte,TBC,,,CL:0000094
Myeloid,Granulocytes,Mast Cells,,,Mast Cells,Granulocytes Mast Cells,"CPA3, TPSB2, TPSAB1, CTSG, HPGDS, KIT",,,,,,CL:0000097,mast cell ,TBC,,,CL:0000097
Myeloid,Granulocytes,Neutrophils,,,Neutrophils,Granulocytes Neutrophils,"PROK2, IFIT2, CCL3L1, CXCR4, HCAR3, G0S2",CD14 only in Monocytes,"CXCR2, MPO, FCGR3A (also monocytes)
Cycling neutrophils CD15
'Mono/Neutrophil_MPO':['MPO','RETN','RNASE2','PCLAF'],
'Monocyte':['CD14','EREG','NAMPT','PLAUR','VCAN','FPR1'],
'Neutrophil':[""CEACAM8"", ""PROK2"", ""CXCR2"", ""S100A12"",'SPI1','KIT','GFI1','FUT4','FCGR3A','SELL']
Granulocytes, including eosinophils and neutrophils, increased in IBD (Supplementary Fig. 11a–c) and expressed distinct membrane protein markers (CD62L, CD193, CD69) compared to their peripheral counterparts, indicating different states of activation (Supplementary Fig. 11d). Specific eosinophil markers included CLC, MS4A3, CCR3 and the “Th2” cytokines IL4 and IL13 (Supplementary Fig. 3a), while the HCAR3, FCGR3B (CD16b), CMTM2 and PROK2 were specific neutrophil markers (Fig. 2b). (Garrido et al. Nat Comm 2023) https://pmc.ncbi.nlm.nih.gov/articles/PMC10372067/",,,,CL:0000775,neutrophil,TBC,,,CL:0000775
Myeloid,Granulocytes,Basophils,,,Basophils,Granulocytes Basophils,,,,,,,CL:0000767,basophil,TBC,,,CL:0000767
Myeloid,Granulocytes,Eosinophils,,,Eosinophils,Granulocytes Eosinophils,"CLC, IL4",,,,,,CL:0000771,eosinophil,TBC,,,CL:0000771
Myeloid,Megakaryocytes,,,,Megakaryocytes,Megakaryocytes,"GP9, LCN2",,,,,,CL:0000556,megakaryocyte,TBC,,,CL:0000556
Myeloid,Red Blood Cells (RBC),,,,Red Blood Cells (RBC),Red Blood Cells (RBC),"HBB, HBA",,,,,,CL:0000232,erythrocyte,TBC,,,CL:0000232
Neurons,,,,,Neurons,Neurons,"RET,SNAP25, SLC17A7, RBFOX3, ENO2, SLC12A5",,AA - expand neuron subtypes? ,,,,CL:0000540,neuron,TBC,,,CL:0000540
Neurons,Excitatory,,,,Excitatory Neurons,Neurons Excitatory,,,"KT - will populate, Alternative: glutamatergic neuron",,,,CL:0000540,neuron,TBC,,Excitatory neuron obsolete in CL. Consider using glutamatergic neuron instead. Do note that not all glutamatergic neurons are excitatory and replacing excitatory neuron with glutamatergic neuron should be done with caution.,CL:0008015
Neurons,Inhibitory,,,,Inhibitory Neurons,Neurons Inhibitory,,,KT - will populate,,,,CL:0008015,inhibitory interneuron,TBC,,,CL:0000165
Neurons,Neuroendocrine,,,,Neuroendocrine Neurons,Neurons Neuroendocrine,,,KT - will populate,,,,CL:0000165,neuroendocrine cell ,,,,CL:0000165
