celltype,lineage,is_follicle_tlo,n_A,n_B,mean_CLR_A,mean_CLR_B,delta_CLR_B_minus_A,p_value,p_adj,neglog10_p_adj
Gamma Delta T Cells,lymphoid,False,90,97,-0.5406968580431659,-0.9521049859825825,-0.4114081279394166,0.0016700535894201166,0.002997532083574568,2.5232361598071535
MAIT Cells,lymphoid,False,90,97,-0.8625037153273596,-0.45905291603660925,0.40345079929075034,0.0017328297636714843,0.0030324520864250977,2.51820605237914
Tuft Cells,epithelial,False,91,67,0.1788144047885715,-0.3672664378666689,-0.5460808426552404,0.002689706109953366,0.004592181163335015,2.337980987185702
migDC,myeloid,False,61,87,-0.29683006144433743,-0.5634580163375926,-0.2666279548932552,0.0031635467801052544,0.005272577966842091,2.277976989527037
Mast Cells,myeloid,False,61,87,0.619312569218924,1.3701036515861817,0.7507910823672578,0.006276228628451962,0.010217116371898543,1.9906716600215937
CD8 TRM,lymphoid,False,90,97,3.0595725697742604,2.3208260067039728,-0.7387465630702876,0.006991935236468028,0.01112353333074459,1.95375723952505
Transiently Amplifying Cells (TA),epithelial,False,91,67,1.487360861104618,1.9751606601717178,0.4877997990670997,0.007264053733808703,0.011299639141480204,1.9469354256640412
Cycling Macrophages,myeloid,False,61,87,-0.08503316774371689,0.1482337837489844,0.2332669514927013,0.017561385954745674,0.026723848192004285,1.573101003972749
EEC N,epithelial,False,91,67,-0.8182562375654077,-0.6198020881490702,0.19845414941633743,0.021194040671552568,0.03156559248954638,1.5007860545062568
Intestinal Stem Cells (ISC),epithelial,False,91,67,1.2303721387547946,0.8325767286538416,-0.397795410100953,0.02524380665143429,0.03681388470000834,1.4339883522148253
CD4 Naive,lymphoid,False,90,97,-0.23213735670553343,-0.6445577819006525,-0.41242042519511907,0.041334489828931516,0.05904927118418788,1.2287854582983724
Mid Crypt Colonocytes,epithelial,False,91,67,-0.02557384626156038,-0.823212626257517,-0.7976387799959567,0.05473028854624765,0.07662240396474672,1.1156442265079105
CD4 Tfh,lymphoid,True,90,97,-0.08348918529294437,0.15875154138578534,0.2422407266787297,0.059290683169384,0.08137936905601725,1.0894856816067484
CD4 Tfr,lymphoid,True,90,97,-0.8808051212728194,-1.0815636736275076,-0.2007585523546882,0.06496892574616067,0.08745816927367782,1.058199617805946
EEC Progenitors,epithelial,False,91,67,-0.5163530838452979,-0.38680531432082954,0.12954776952446834,0.0756078189438659,0.09985938351076629,1.000611119421494
Lower Crypt Colonocytes,epithelial,False,91,67,0.8795751702592381,-0.49071787295748165,-1.3702930432167197,0.08282381265886607,0.10736420159482638,0.9691405011454324
Lower Villus Enterocytes,epithelial,False,91,67,0.6011410505790673,0.9356424576844424,0.3345014071053751,0.1018341315518278,0.12960707652050812,0.8873712854260303
Tuft Progenitors,epithelial,False,91,67,-0.35019097929877546,-0.5920961479943594,-0.24190516869558393,0.1700164678644307,0.21252058483053837,0.6725989976356008
Colonocyte Progenitors,epithelial,False,91,67,0.5505679315122906,-0.3744322512818152,-0.9250001827941057,0.1823844342607811,0.2239808841799066,0.6497890452794056
BEST4 Colonocytes,epithelial,False,91,67,0.27173510510016713,-0.5819360784337416,-0.8536711835339088,0.23023549599767534,0.2778704262040909,0.5561576727973978
