Disease,predicted_Prelim_annotation,n,mean,median,std,p10,p25,p75,p90
Healthy,CD8 T,90,1.447997737924258,1.5638208389282227,0.4141718833396836,0.8802814841270448,1.2457508444786072,1.7306073904037476,1.8446668148040777
Healthy,Fibroblasts Crypt Top (S2B),89,0.551600922380438,0.5661196112632751,0.3137132451967288,0.16189352571964266,0.2582280933856964,0.7288509011268616,0.9911885261535646
Healthy,Monocytes,86,0.32658187878879225,0.09545058757066727,0.46506161960667197,0.0016755129327066243,0.007810512557625771,0.5077037364244461,0.9446211755275726
Healthy,Glia Submucosal Plexus / Type I,69,0.7024086734306985,0.7356330156326294,0.34385985288789844,0.24474314153194426,0.4281652867794037,0.9011018872261047,1.0990526676177979
Healthy,SMC Inner Muscle Cells,68,0.5165161464965957,0.3402547836303711,0.45660041425172637,0.06725984364748001,0.2195427380502224,0.6999481022357941,1.2965231299400335
Healthy,Macrophages M2,60,0.5095832003590961,0.497814416885376,0.3429309503553087,0.08678730875253678,0.20901119336485863,0.688430979847908,1.0132471323013306
Healthy,vascular endothelial Post arteriole capillary (PAC),58,0.6467086125550598,0.6444331705570221,0.33883491424152523,0.19777272492647172,0.3894592300057411,0.8885796517133713,1.062810504436493
Healthy,ILC3,57,0.5923979379105986,0.5998297333717346,0.24684471876209238,0.28286477327346804,0.45820730924606323,0.6864230036735535,0.8339313268661498
Healthy,DC cDC1,51,0.14027086557197274,0.02034001797437668,0.2900038524624896,0.0008782717050053179,0.003101790207438171,0.14895422756671906,0.3642929196357727
Healthy,CD4 Th1,46,1.4951847636181375,1.4590612649917603,0.32657315396105974,1.0720802545547485,1.2343132197856903,1.7448720335960388,1.9067175388336182
Healthy,EEC Progenitor,39,0.9114398421385349,0.8901841640472412,0.544711806223061,0.25890928804874425,0.4629416912794113,1.3679527044296265,1.5630150318145752
Healthy,Pericytes Immature,39,0.7391749226894134,0.7525783181190491,0.35036636401186083,0.3303743898868561,0.431634783744812,0.9253308773040771,1.1312151908874517
Healthy,Fibroblasts Muscularis Propria,35,0.582253988300051,0.6444822549819946,0.31937433411894944,0.11857111603021622,0.24013954401016235,0.7995634973049164,0.9662721991539002
Healthy,Fibroblastic reticular cells,34,0.34532635364517134,0.20102430880069733,0.34167452708947527,0.020036946795880795,0.07258208841085434,0.594244047999382,0.7268099009990692
Healthy,Pericytes Contractile,33,0.7884278627056064,0.712478518486023,0.398590705562539,0.3558106541633606,0.48283281922340393,1.0239378213882446,1.2907059431076051
Healthy,doublet,32,1.1578183937817812,1.2407925128936768,0.5031630188607424,0.4272314518690109,0.7855628281831741,1.570605218410492,1.7426689863204956
Healthy,Glia Intra-Ganglionic,30,0.7877365132172902,0.7547027468681335,0.2707850311590255,0.5591736078262329,0.6552716642618179,0.8097378462553024,1.1432901024818423
Healthy,vascular endothelial Lymphatic,29,0.22053572715757863,0.032771218568086624,0.4246460497788293,0.0030761429108679297,0.005921633914113045,0.20947596430778503,0.6579006314277647
Healthy,Macrophages Cycling,23,0.2860692613353224,0.07110609859228134,0.33701187223144324,0.013643627986311913,0.023592243902385235,0.4660336673259735,0.7280385732650757
Healthy,T GammaDelta,23,1.1020665810160015,1.1906447410583496,0.5076422427986481,0.34400026798248295,0.7847472429275513,1.5504094362258911,1.7074750900268554
Healthy,ILC2,20,0.6426073387265205,0.5727168619632721,0.44051501332190957,0.37231537997722625,0.45054296404123306,0.6658733934164047,0.702462548017502
Healthy,Secretory Paneth Cells,18,0.3009676736110123,0.03947367146611214,0.5359192297233607,0.0001842998404754326,0.0024759262159932405,0.3191113919019699,0.9049249589443212
Healthy,Enteroendocrine Cells (EEC),17,1.5945676600231844,1.693336844444275,0.5784284879335213,0.8180249333381653,1.3211002349853516,1.9287378787994385,2.2269381999969484
Healthy,EEC S Cells (SCT+),15,0.6495177348454794,0.5315670371055603,0.508913736753389,0.3096766471862793,0.37914472818374634,0.6638849675655365,0.9329811334609984
Healthy,"DC Monocyte derived dendritic cell
(MO DC)",13,0.8661203132225916,0.8041762709617615,0.4775123384495994,0.3660330593585968,0.49320414662361145,1.1382018327713013,1.508383107185364
Healthy,CD8 Naive,12,1.4428189893563588,1.421366035938263,0.35775178727716955,1.0715983867645265,1.085782140493393,1.6772804856300354,1.8431800842285158
Healthy,ILC1,12,0.8137676666180292,0.7345714271068573,0.21015445837019772,0.6979358732700348,0.7043863981962204,0.8808282911777496,0.967262601852417
Healthy,vascular endothelial,11,0.9268606034192172,0.8010052442550659,0.30789212061727406,0.5867323279380798,0.7073115408420563,1.1315449476242065,1.360022783279419
Healthy,EEC N Cells,10,0.34720786064863207,0.11830407753586769,0.46294569108614914,0.02145616486668587,0.04997823014855385,0.5649138055741787,0.8435210943222043
Healthy,CD8 Memory/Exhausted,9,0.9033215112156339,0.8765540719032288,0.2908709798672128,0.5593830108642578,0.7487510442733765,1.0694383382797241,1.1736373901367188
Healthy,Glia Muscularis propria/Type IV,9,1.3466385470496283,1.2868332862854004,0.28469203212855465,1.0351519346237184,1.1901706457138062,1.4923322200775146,1.68440842628479
Healthy,SMC Outer Muscle Cells,9,0.5449344780710008,0.5969716906547546,0.2697770764411444,0.18196963071823122,0.35639768838882446,0.7364174723625183,0.8059145212173462
Healthy,Pericytes Secretory,8,0.9048739671707153,0.7680851221084595,0.3906476173355924,0.7052597165107727,0.7398378700017929,0.8640911877155304,1.1721241533756255
Healthy,T NKT,7,0.6228572619812829,0.35532525181770325,0.43547328574939226,0.24268532991409303,0.2964911609888077,0.9726088643074036,1.160536766052246
Healthy,GC B Germinal Center,6,1.8046028017997742,1.7828635573387146,0.5093080921165019,1.2947629690170288,1.573206216096878,2.203650176525116,2.336181879043579
Healthy,DC migDC,4,0.09974472736939788,0.10596196725964546,0.08157553311438875,0.023712358810007574,0.03791692620143294,0.1677897684276104,0.1708033040165901
Healthy,lowQ,4,1.8000527918338776,1.8256317377090454,0.2586757258259903,1.5591309428215028,1.70425084233284,1.921433687210083,2.0205114841461183
Healthy,vascular endothelial Capillary,3,1.123588740825653,1.2328020334243774,0.5099969631199068,0.7008261442184448,0.9003171026706696,1.4014670252799988,1.5026660203933715
Healthy,Colonocytes Laminin,1,1.5264784097671509,1.5264784097671509,,1.5264784097671509,1.5264784097671509,1.5264784097671509,1.5264784097671509
Healthy,Fibroblasts Submucosal (aka Crypt Support/Trophocytes/S3),1,0.7662055492401123,0.7662055492401123,,0.7662055492401123,0.7662055492401123,0.7662055492401123,0.7662055492401123
Healthy,B Atypical,0,,,,,,,
Healthy,B Cycling,0,,,,,,,
Healthy,B Memory,0,,,,,,,
Healthy,Epithelial,0,,,,,,,
Healthy,Fibroblasts Myofibroblasts,0,,,,,,,
Healthy,Fibroblasts mLTo Cells (mesenchymal lymphoid tissue organizer cells),0,,,,,,,
Healthy,GC B Dark Zone,0,,,,,,,
Healthy,Granulocytes,0,,,,,,,
Healthy,ILC NKs,0,,,,,,,
Healthy,Not predicted,0,,,,,,,
Healthy,T Cycling ,0,,,,,,,
Healthy,T MAIT,0,,,,,,,
CD,Colonocytes,45358,0.8505183858477465,0.7798831760883331,0.47709852448682677,0.27775227427482607,0.4771128296852112,1.1516619324684143,1.540435039997101
CD,Plasma IGA,43865,0.4467428391157501,0.4439431428909302,0.1706368424000441,0.23041857779026031,0.33120909333229065,0.5634675621986389,0.6591134190559387
CD,CD4 Naive,32971,0.7909114188706868,0.7306876182556152,0.4499581942189487,0.23267021775245667,0.45648378133773804,1.0663744807243347,1.4456185102462769
CD,Absorptive TA,29839,0.8195926849157424,0.800155758857727,0.41440684308677106,0.2908048629760742,0.4933598190546036,1.0916260480880737,1.3671761512756349
CD,CD4 Th17,17710,0.6629048410928764,0.6531858444213867,0.38474753782135845,0.17261089235544205,0.3752758577466011,0.8590914607048035,1.1863421320915222
CD,Colonocytes Late,16360,0.35588018112271697,0.241007998585701,0.35090948929112437,0.009359646774828439,0.039011881686747074,0.6325478851795197,0.8323714673519135
CD,Colonocytes Early,16107,0.9594141807930536,0.89657062292099,0.43069704692275884,0.42451544404029845,0.6423667371273041,1.2365910410881042,1.5869093656539917
CD,Fibroblasts Lamina propria (S1),15735,0.18312520230122786,0.03258299455046654,0.31640337970227467,0.0031422156374901534,0.007556134834885597,0.19878935813903809,0.6433545589447024
CD,Enterocytes Late,14110,0.39836957915771876,0.27070656418800354,0.38132621795713134,0.03446676395833492,0.0877794623374939,0.6430009305477142,0.9161556124687196
CD,vascular endothelial Arteriolar,12738,0.316693583794285,0.14306096732616425,0.3779611964508,0.023206848837435245,0.050980097614228725,0.4660678133368492,0.8809009850025179
CD,Epithelial Stem Cells (LGR5+),12273,0.7707255809430291,0.6638126969337463,0.5906086849579971,0.08825547695159913,0.2556201219558716,1.1868964433670044,1.6665650129318237
CD,CD8 TRM,11618,0.9427185444949129,0.9414398670196533,0.45643362324177267,0.3187004327774048,0.5762816667556763,1.299882709980011,1.556695926189423
CD,CD8 Circulating Effector/Memory,11152,0.5457761802780241,0.32090969383716583,0.5481869193818374,0.03130794949829578,0.08619944378733635,0.9224365949630737,1.4351013660430907
CD,CD4 Treg,10882,0.4201194367138412,0.19201313704252243,0.48309249631950507,0.01915155928581953,0.048434024676680565,0.6857564449310303,1.2147180676460263
CD,Enterocytes,8063,1.2324721392807307,1.1749156713485718,0.5017789946901452,0.604106891155243,0.8174598813056946,1.6533663272857666,1.9282264709472656
CD,Transiently Amplifying Cells (TA),8063,1.0085149687289323,1.03464674949646,0.5765077334980787,0.1587069183588028,0.5489180386066437,1.4603368639945984,1.759300446510315
CD,Fibroblasts Crypt Bottom (S2A),7789,0.1357360037112906,0.00971917249262333,0.34429486328964204,0.001837746775709093,0.0036099336575716734,0.04505744203925133,0.4344148933887479
CD,Cycling TA,6535,1.0293725141675398,1.0061918497085571,0.4063868916767042,0.49824531674385075,0.7576923966407776,1.2890202403068542,1.5505119800567628
CD,Plasma Cells,6355,0.6594206864408486,0.6543978452682495,0.3258982605710428,0.3141712307929993,0.48337993025779724,0.7011465728282928,0.9859539151191712
CD,vascular endothelial Venular,4797,0.26013361840450244,0.07458999752998352,0.37656859857486524,0.006508820597082377,0.018103573471307755,0.3514069616794586,0.8245474815368653
CD,Plasma IGG,4685,0.389930915269949,0.295973539352417,0.30561067895691796,0.07991879433393478,0.14221987128257751,0.5831183195114136,0.8709216237068178
CD,CD8 Effector/Memory,4667,1.0722522198052757,1.0983076095581055,0.45734637064049427,0.41099998950958255,0.7647993266582489,1.4257011413574219,1.6499499559402466
CD,CD4 Tfh,4523,0.9554860046153578,0.9681593775749207,0.42915451083802475,0.3681821942329407,0.6182437539100647,1.2749598026275635,1.5128529787063598
CD,Monocytes,4435,0.12658734017282192,0.0074859121814370155,0.2714552895966788,0.0006356139201670886,0.0016465894295834005,0.07159992307424545,0.5222205758094788
CD,Fibroblasts Subserosal,4175,0.32658035141316905,0.18086014688014984,0.3478294017110608,0.01211210023611784,0.03873596899211407,0.569786012172699,0.8169441699981689
CD,Colonocytes BEST4,3917,0.5109936167533089,0.3555629551410675,0.4775086815427331,0.04264560863375664,0.11651638895273209,0.7899636626243591,1.244393825531006
CD,DC cDC2,3908,0.26521123657760876,0.0997810997068882,0.3318335775673623,0.015350274927914144,0.031235259491950274,0.42762453109025955,0.7331358909606936
CD,Macrophages Tissue Resident,3899,0.22796398375272947,0.06276775151491165,0.31228464315122245,0.00528704896569252,0.012445555068552494,0.3608149290084839,0.7179533600807191
