Disease,predicted_Prelim_annotation,n,mean,median,std,p10,p25,p75,p90
CD,ILC1,44,1.0080962072719226,0.8010568618774414,0.422191985833603,0.6886089742183685,0.7079801112413406,1.1493175327777863,1.714596331119538
CD,Glia Muscularis propria/Type IV,32,1.3254915215075016,1.2849975228309631,0.37808762222826997,0.853320574760437,1.0164495408535004,1.6075755655765533,1.832637655735016
CD,B Cycling,16,1.7681765779852867,1.7530478835105896,0.4040664177457784,1.2972742319107056,1.4093678891658783,2.046998918056488,2.3280022144317627
CD,ILC NKs,8,0.8065275698900223,0.7971417903900146,0.22038193501298797,0.5394502401351928,0.6548168063163757,0.9697343111038208,1.0419764637947082
CD,B Memory,5,1.6631921648979187,1.5473589897155762,0.6189700255933451,1.0689564108848573,1.3561261892318726,2.071068048477173,2.306765842437744
CD,Epithelial,5,0.987602698802948,0.9036639928817749,0.3072226581694279,0.7069425582885742,0.90256267786026,1.1634935140609741,1.300455904006958
CD,Fibroblasts mLTo Cells (mesenchymal lymphoid tissue organizer cells),5,0.6848932147026062,0.5869667530059814,0.24525088032290215,0.5110671401023865,0.5615496039390564,0.6982381939888,0.939474892616272
CD,B Atypical,2,1.450690507888794,1.450690507888794,0.21152154568465367,1.331035852432251,1.3759063482284546,1.5254746675491333,1.570345163345337
CD,Granulocytes,2,0.7009722292423248,0.7009722292423248,0.05882431431980629,0.6676961719989777,0.6801746934652328,0.7217697650194168,0.734248286485672
CD,Colonocytes Laminin,1,1.4079023599624634,1.4079023599624634,,1.4079023599624634,1.4079023599624634,1.4079023599624634,1.4079023599624634
CD,T MAIT,1,1.331632375717163,1.331632375717163,,1.331632375717163,1.331632375717163,1.331632375717163,1.331632375717163
CD,GC B Dark Zone,0,,,,,,,
CD,Not predicted,0,,,,,,,
CD,T Cycling ,0,,,,,,,
UC,Colonocytes,46804,0.8683623587154695,0.7983217239379883,0.4927183574328111,0.2675234735012054,0.47833241522312164,1.1910566091537476,1.5793260097503665
UC,Plasma IGA,44957,0.4237987869813484,0.40112075209617615,0.21149053461737766,0.18554430007934572,0.27825793623924255,0.5439473390579224,0.6713324904441833
UC,CD4 Naive,29136,0.8121505972790188,0.739287257194519,0.46960339141748825,0.23553180694580078,0.4634922817349434,1.098222553730011,1.4992203116416931
UC,Absorptive TA,25586,0.8689775689644306,0.8521953523159027,0.42705281500359765,0.3102147579193115,0.546227902173996,1.1462877690792084,1.4379096627235413
UC,vascular endothelial Arteriolar,24996,0.42810183434819365,0.2529950886964798,0.4317893171686123,0.03163067437708378,0.07773694209754467,0.698679506778717,1.089758276939392
UC,Plasma IGG,22753,0.3311059156692911,0.22116494178771973,0.2990309470099847,0.062116210907697686,0.11117632687091827,0.46669942140579224,0.798079538345337
UC,Colonocytes Early,19697,0.979802028933016,0.9186661243438721,0.44207241649703255,0.4269505202770233,0.6473109722137451,1.2787854671478271,1.6195226192474368
UC,Fibroblasts Lamina propria (S1),19325,0.24345376341186528,0.059450116008520126,0.3686673653739798,0.004919061716645957,0.013066406361758709,0.32986366748809814,0.7730577111244207
UC,CD4 Th17,18704,0.7166686392045742,0.67849001288414,0.43526663620709527,0.19222535789012912,0.3980320915579796,0.9376926571130753,1.3175554513931276
UC,CD4 Treg,18465,0.5317923362777098,0.34342774748802185,0.5110043519685947,0.03275546729564667,0.09245624393224716,0.8905013203620911,1.3307188034057624
UC,CD8 Circulating Effector/Memory,16453,0.44032789522856175,0.22478310763835907,0.48968703761899995,0.03266355842351913,0.0781978964805603,0.6587042212486267,1.2434203386306766
UC,Epithelial Stem Cells (LGR5+),13601,0.7718789851128355,0.6826232671737671,0.5747601242127971,0.09879205375909805,0.27507567405700684,1.1539621353149414,1.6443809270858765
UC,vascular endothelial Venular,8809,0.3222454679232263,0.11737425625324249,0.4143071009436623,0.010303711891174317,0.027851814404129982,0.504041850566864,0.9472537279129029
UC,Fibroblasts Crypt Bottom (S2A),8581,0.2383293358958689,0.016567794606089592,0.45276849682507897,0.002015355508774519,0.00449526309967041,0.17960523068904877,0.986642062664032
UC,Colonocytes Late,8247,0.4186682525703568,0.3300226926803589,0.3744658720424067,0.017682144418358803,0.07144572585821152,0.7091046869754791,0.9026831030845645
UC,Plasma Cells,6650,0.7564177121939067,0.6839822232723236,0.39526138834050817,0.35641241371631627,0.532087504863739,0.8690849095582962,1.235353469848633
UC,Transiently Amplifying Cells (TA),6466,1.1305720909329968,1.1527794003486633,0.5391591980308627,0.3402452915906906,0.7695160061120987,1.541691154241562,1.8205616474151611
UC,CD4 Tfh,6111,0.993519747944927,1.0008732080459595,0.44515379210804346,0.3809391260147095,0.6658736169338226,1.318694293498993,1.569487452507019
UC,Cycling TA,5978,1.0497611174967505,1.0317317843437195,0.4049740010374469,0.5252642095088959,0.7692815661430359,1.3119814693927765,1.5802040100097656
UC,Enterocytes Late,5569,0.289606140748753,0.12606559693813324,0.3689996635511144,0.01909524016082287,0.04025126248598099,0.42008310556411743,0.8042115926742553
UC,Fibroblasts Subserosal,5301,0.3317793253324534,0.18802455067634583,0.35608317395580963,0.008707292377948761,0.03184932842850685,0.5806043148040771,0.8135626316070557
UC,Enterocytes,4797,1.4432283669635606,1.4919164180755615,0.4681363130812609,0.7934513211250305,1.0731258392333984,1.816294550895691,2.019733190536499
UC,Pericytes Angiogenic,4659,0.6977830002283073,0.665888249874115,0.4254708755842786,0.17577323019504548,0.3235645145177841,0.9850391745567322,1.268565559387207
UC,Secretory Goblet Cells,4350,0.6359493133018927,0.4003717750310898,0.6419925011528136,0.012484929524362089,0.06394518911838531,1.1150099635124207,1.6410256147384643
UC,CD8 TRM,4219,1.129718435243254,1.160508394241333,0.45635030952462574,0.49309239387512205,0.8068220615386963,1.4612200260162354,1.6730382919311524
UC,vascular endothelial Pre venule capillary (PVC),4045,0.7133475927462196,0.7285414338111877,0.44596961638216664,0.11013875156641009,0.3094140291213989,1.059788703918457,1.302581238746643
UC,Monocytes,3710,0.11053965104047019,0.0051015878561884165,0.25506627657907927,0.0006679942249320448,0.0015232823498081416,0.04357539489865303,0.45484648048877707
UC,Colonocytes BEST4,3469,0.6323355739819717,0.5351803302764893,0.49089407341282154,0.08532853573560714,0.2067997008562088,0.9374138116836548,1.3486742019653322
UC,Macrophages Tissue Resident,3371,0.22502873667111556,0.06793756037950516,0.30375937095311684,0.004354388918727636,0.012696004938334227,0.3546876013278961,0.7028976678848267
UC,CD4 Memory,3236,1.2182052897091389,1.2209082245826721,0.363595724275172,0.7677752375602722,0.9987927228212357,1.4708820581436157,1.671084702014923
UC,Glia Myenteric Plexus / Type I,3110,0.6512073622974552,0.6407731771469116,0.3305131668329113,0.24550684392452243,0.3947652205824852,0.8301344662904739,1.0822716236114502
UC,vascular endothelial,2942,0.7777598432741963,0.8123945891857147,0.42068820621778025,0.1750216603279114,0.41291312873363495,1.1222539842128754,1.3177736759185792
UC,Pericytes Immature,2572,0.8618196435359597,0.8268938958644867,0.3687811931431008,0.4051126897335053,0.6083840578794479,1.0613844096660614,1.3382580876350405
UC,DC cDC2,2556,0.26563756104060615,0.0854015164077282,0.35306096525864294,0.012219921220093966,0.024779701605439186,0.40395637601614,0.7732256650924683
UC,CD8 Effector/Memory,2547,1.0658236232146139,1.1140919923782349,0.5110937164230457,0.3121983230113983,0.690937340259552,1.4558272957801819,1.6982672452926637
UC,EEC Enterochromaffin Cells,2455,0.6789127178243579,0.273973673582077,0.7480197396388832,0.0275838665664196,0.06820349022746086,1.2495595812797546,1.9160248756408689
UC,SMC Inner Muscle Cells,2375,0.449024753947007,0.3121829628944397,0.4127193992995729,0.07191316932439804,0.13218998163938522,0.6568510234355927,1.0619977951049795
UC,Glia Extra-Ganglionic,2359,0.7403993269222527,0.692657470703125,0.39392725703997983,0.3023118555545807,0.45438630878925323,0.919157087802887,1.2527435541152963
UC,CD8 IEL,1967,0.9209491344917817,0.8807724118232727,0.5946783962808225,0.16306971907615664,0.3962746262550354,1.3838877081871033,1.7697073221206665
UC,vascular endothelial Post arteriole capillary (PAC),1922,0.9361641417382504,0.9331789016723633,0.421692652639282,0.3594964981079102,0.6211459338665009,1.2282656133174896,1.4770032763481142
UC,Follicle associated enterocyte (FAE),1844,0.9873059660321558,0.9047461152076721,0.4847594930066459,0.3927664548158646,0.6257787942886353,1.3224454522132874,1.6711437106132507
UC,ILC NK Cells,1808,0.48916098605109937,0.40850016474723816,0.3773721777108088,0.09530450478196144,0.19082509726285934,0.7068142741918564,0.9643239617347718
UC,Smooth Muscle Cells (SMC),1800,0.3344468533969161,0.09528720006346703,0.45059753298826277,0.00668965931981802,0.01944642374292016,0.5607541650533676,0.986749118566513
UC,Granulocytes Mast Cells,1743,0.017823549791576274,0.0005053381901234388,0.10338974587867356,0.00012389904586598277,0.00022650897881248966,0.0016466500819660723,0.007852891273796557
UC,CD8 T,1587,1.1228575860822096,1.1573326587677002,0.4693504239791505,0.46030355095863346,0.7671101689338684,1.4896003007888794,1.7072642564773561
UC,Secretory Tuft Cells,1517,0.32638586204120656,0.042137786746025085,0.5512112161118391,0.0029678776394575835,0.009454186074435711,0.3520926535129547,1.2418951272964478
UC,Pericytes Contractile,1152,0.8665036030352995,0.8740640878677368,0.4058083139792854,0.30606091618537906,0.576081857085228,1.1032941043376923,1.4038037657737732
UC,ILC3,1137,0.6031174377104958,0.5626428723335266,0.35770044433417963,0.23228904008865356,0.38213691115379333,0.6983767151832581,1.0293481826782227
UC,Fibroblasts Crypt Top (S2B),1134,0.6706375794688887,0.6366686820983887,0.43998174233015924,0.12484026402235032,0.3162948563694954,0.9463968425989151,1.3041315793991088
UC,doublet,1080,1.1736723981263046,1.2000573873519897,0.559026649754351,0.3766916036605835,0.7777107208967209,1.576710045337677,1.8813092112541199
UC,T GammaDelta,994,0.872514475025499,0.8835045397281647,0.5276534353876027,0.15941822826862337,0.4240526631474495,1.2720644176006317,1.5772714495658875
UC,Fibroblastic reticular cells,969,0.6239312794323822,0.5657480955123901,0.504004836426761,0.03069438748061657,0.1457635760307312,0.9915784001350403,1.3643481254577636
UC,Secretory TA,934,1.117749086284025,1.10285884141922,0.4129683868030632,0.5906280100345612,0.7919337749481201,1.4116269946098328,1.672828698158264
UC,Glia Submucosal Plexus / Type I,924,0.7544778894866894,0.7189675271511078,0.4525541129881703,0.18515527248382574,0.4000827968120575,1.019569754600525,1.3885476112365724
UC,Fibroblasts Subepithelial (S2),892,0.7230805357241578,0.7010019421577454,0.36510035771269966,0.23555318862199787,0.4447803944349289,0.9622509181499481,1.228801870346069
UC,Enterocytes Early,819,1.1253237390983963,1.06247079372406,0.5904540502821907,0.2912503421306611,0.6858058273792267,1.6633143424987793,1.8862418174743654
UC,Microfold Cells (M Cells),737,1.0224713923730553,0.956551194190979,0.5611128902373829,0.323138564825058,0.5337724685668945,1.4531795978546143,1.8266130685806274
UC,Fibroblasts Myofibroblasts,729,0.7381353080234349,0.7285738587379456,0.4779320157057993,0.09850092083215713,0.3179241120815277,1.081119418144226,1.395263385772705
UC,CD8 Naive,700,1.3458743630988257,1.3578230142593384,0.3501134101360285,0.9034037649631501,1.125466525554657,1.585194170475006,1.7768971800804139
UC,Glia Mucosal/Type III,650,0.915727755358586,0.9239845871925354,0.3345240266063662,0.4826208889484406,0.6862225085496902,1.1294333636760712,1.3090944290161133
UC,DC cDC1,643,0.1858164444304608,0.02891111560165882,0.3447820549173757,0.0013456947635859253,0.003912590560503304,0.16290034353733063,0.6903230667114268
UC,SMC Outer Muscle Cells,577,0.5295811763817713,0.530689537525177,0.3072786877938779,0.14840382039546968,0.28736868500709534,0.7181344628334045,0.838797926902771
UC,EEC L Cells (PYY+),543,0.7913847902916632,0.783096194267273,0.38085147006925124,0.32136311531066897,0.504955381155014,1.012971818447113,1.2472152233123779
UC,CD8 Memory/Exhausted,535,0.9144343809268185,0.8282209038734436,0.45796133984157045,0.3722518563270569,0.5729074478149414,1.1788842678070068,1.6272267580032351
UC,vascular endothelial Capillary,535,1.0024386486717474,0.9952183365821838,0.35138169544970216,0.5493265628814697,0.7752600312232971,1.2361397743225098,1.4329361438751222
UC,Fibroblasts Muscularis Propria,517,0.7603161802346056,0.7631736397743225,0.38014409809021255,0.24266408383846283,0.5098463892936707,0.975039005279541,1.212718152999878
UC,ILC2,421,0.562120710161123,0.5943249464035034,0.21277366913692233,0.29053500294685364,0.4480389356613159,0.6841095685958862,0.7147511839866638
UC,CD4 Th1,402,1.4703770323624066,1.4910422563552856,0.3532141265748551,1.0325759768486023,1.2326105237007141,1.7037655115127563,1.9081653594970702
UC,Fibroblasts Submucosal (aka Crypt Support/Trophocytes/S3),317,1.1196230004544514,1.1200658082962036,0.5371033320545952,0.39417240619659427,0.7357869744300842,1.5323325395584106,1.8252830505371094
UC,Macrophages Cycling,280,0.28045126724048586,0.1183432936668396,0.34576031811968083,0.009256545547395946,0.02809219853952527,0.44004858285188675,0.7800275921821593
UC,Macrophages M2,274,0.5497019482049139,0.5327276587486267,0.3605450078444803,0.10912120565772057,0.23431389406323433,0.7792214006185532,1.0626474022865298
UC,DC migDC,264,0.2513009371124843,0.06919292360544205,0.36647114232870603,0.009867024421691895,0.023196320049464703,0.28197841346263885,0.8557662189006808
UC,Glia Intra-Ganglionic,247,0.9242441276548362,0.8357971906661987,0.3845296463527065,0.49242135882377625,0.6656648218631744,1.138586699962616,1.4116276264190675
UC,Secretory Paneth Cells,245,0.4349942949559535,0.11596040427684784,0.5929210899112136,0.0004249099234584719,0.0060736555606126785,0.7100337147712708,1.391318106651306
UC,EEC Progenitor,215,0.8242741907405299,0.7090426087379456,0.5723581520768511,0.1840856969356537,0.36578860878944397,1.1718738675117493,1.7156468391418456
UC,Enterocytes BEST4,155,0.6069867273732539,0.610706627368927,0.5815751794346448,0.00831432044506073,0.029612557031214237,1.0386342406272888,1.283129811286926
UC,"DC Monocyte derived dendritic cell
(MO DC)",153,0.7870114851268191,0.7473639845848083,0.5191337565879803,0.11466794908046724,0.31041979789733887,1.2129536867141724,1.493875813484192
UC,T NKT,148,0.6062719736852356,0.5228513181209564,0.37060450723326926,0.17685171216726303,0.33433009684085846,0.836163118481636,1.1019012928009038
UC,GC B Germinal Center,131,1.7693492356147476,1.729076623916626,0.41880056273728217,1.2975131273269653,1.4586766362190247,2.061664581298828,2.3627302646636963
UC,vascular endothelial Lymphatic,114,0.34487401470113055,0.014893873129040003,0.6439390452461365,0.0018754113116301596,0.003948471392504871,0.2172466777265072,1.4855209708213808
UC,lowQ,97,1.6175755972100287,1.6774401664733887,0.4204086664274311,1.114426565170288,1.3563288450241089,1.8780142068862915,2.1294418811798095
UC,B Cycling,86,1.6220294573279315,1.6297387480735779,0.5898303011081866,0.828016072511673,1.1386859118938446,2.0499237775802612,2.3957380056381226
UC,Enteroendocrine Cells (EEC),77,1.4528725603958228,1.3066914081573486,0.5557734158678028,0.7832812428474426,1.0257467031478882,1.9864414930343628,2.147916078567505
UC,EEC N Cells,65,0.8892425983284529,0.8647536039352417,0.6501752367826102,0.07781882733106614,0.3673706650733948,1.2076188325881958,1.927602005004883
UC,ILC1,53,0.8596077280224494,0.7552512288093567,0.2922361351777711,0.6729704976081848,0.7056509256362915,0.900702714920044,1.2236430406570435
UC,Pericytes Secretory,50,0.9483594030141831,0.9638796746730804,0.21827759783493936,0.7222556173801422,0.7813841551542282,1.077172428369522,1.2140935778617858
UC,Glia Muscularis propria/Type IV,35,1.3688546180725099,1.3330353498458862,0.2750104212992921,1.019562029838562,1.1812816262245178,1.5844101905822754,1.7374523162841797
UC,B Memory,27,1.9997380883605391,1.980892300605774,0.42829921926835907,1.4162285327911377,1.7104519605636597,2.3857855796813965,2.5038462162017825
UC,EEC S Cells (SCT+),20,1.4882793948054314,1.6120820045471191,0.7723336835251741,0.6023697316646576,0.755559653043747,2.1651230454444885,2.347494697570801
UC,ILC NKs,11,0.8478906913237139,0.8124051690101624,0.31570629232112957,0.514855682849884,0.5979860126972198,1.03671395778656,1.113926649093628
UC,B Atypical,9,1.6142246392038133,1.712552785873413,0.4711228037232786,0.8874545812606811,1.582489013671875,1.917626142501831,2.021417474746704
UC,T Cycling ,6,1.9435496926307678,1.9312036037445068,0.2505648860740972,1.7110076546669006,1.773556649684906,1.982809066772461,2.188437819480896
UC,Epithelial,4,1.4237415045499802,1.4223980903625488,0.4782553924216717,0.9785397350788116,1.1292816251516342,1.7168579697608948,1.8700180053710938
UC,Colonocytes Laminin,2,1.6319467425346375,1.6319467425346375,0.0010938793062517437,1.6313279509544372,1.6315599977970123,1.6323334872722626,1.6325655341148377
UC,Fibroblasts mLTo Cells (mesenchymal lymphoid tissue organizer cells),2,0.6341747343540192,0.6341747343540192,0.08670445460976269,0.5851272881031037,0.603520080447197,0.6648293882608414,0.6832221806049347
UC,GC B Dark Zone,2,2.3832956552505493,2.3832956552505493,0.45479332387692806,2.1260257005691527,2.2225019335746765,2.544089376926422,2.640565609931946
UC,Granulocytes,2,1.1436390578746796,1.1436390578746796,0.26163520223531944,0.9956358373165131,1.0511370450258255,1.2361410707235336,1.291642278432846
UC,Not predicted,0,,,,,,,
UC,T MAIT,0,,,,,,,
