lineage,dataset_id,dataset_name,label_id,label_name,full_name,cell_count,cap_marker_genes,cap_canonical_marker_genes,cap_synonyms,cap_rationale,cap_rationale_dois,cap_ontology_term,cap_ontology_term_id,score_agree,score_disagree,score_idk,n_feedback
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664047,Glia Submucosal Plexus / Type I,type 1 submucosal plexus glia,383,"ENTPD2,SFRP5","ENTPD2,SFRP5,SOX10",unknown,"This label is used for type I glia associated with the submucosal plexus, distinguished by expression of ENTPD2, SFRP5 and a core glial program and by their co-clustering with other submucosal plexus markers in integrated data. They are present across several datasets but enriched in samples with preserved submucosa, consistent with a submucosal plexus localization. The glial subtypes performed poorly in reference mapping benchmarks, so a lesser resolution is likely best for the data currently. Annotation experts also point to less confidence in glial subtypes",,type 1 submucosal plexus glia,CL:4047043,0,0,1,1
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664048,Pericytes Secretory,secretory pericyte,169,"MUSTN1,PLN","MUSTN1,PLN,COL15A1",unknown,"MUSTN1 and PLN were used to annotate pericytes with secretory program, two putative paracrine factors",,secretory pericyte,CL:4047032,0,0,2,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664049,Fibroblasts Muscularis Propria,muscularis propria fibroblast,2808,"DPT,C7,KCNN3,CA8,PLCB4","DPT,KCNN3,PDGFRA",unknown,"These fibroblasts are defined by DPT, C7, KCNN3, CA8 and PLCB4 expression and were initially annotated as Muscularis Propria fibroblasts in the hierarchy, but our experts repeatedly note that some clusters with this label are present in many biopsy-derived datasets, which is difficult to reconcile with a strictly muscularis-only population. Marker profiles suggest a deeper S3-like or muscle-adjacent fibroblast population, but current spatial evidence is insufficient to cleanly separate muscularis propria fibroblasts from subserosal or submucosal fibroblasts in the integrated data. We therefore keep this label as a provisional deeper muscle-layer fibroblast class with moderate confidence and flag the spatial assignment as uncertain. Do we need a ""deep S3"" sub-label?",,fibroblast,CL:0000057,0,1,1,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664050,Glia Mucosal/Type III,type 3 mucosal glia,824,"RELN,MBP,PLLP","RELN,MBP,PLLP",unknown,"Mucosal type III glia are defined by RELN, MBP and PLLP expression together with canonical glial markers, and are the predominant glial population in mucosa/submucosa-enriched samples. Several clusters annotated as Glia Mucosal/Type III recur across many datasets, suggesting a conserved mucosal glial state. We therefore treat this as a robust mucosal glial subtype with moderate-confidence mapping to the CL type 3 mucosal glia term. The glial subtypes performed poorly in reference mapping benchmarks, so a lesser resolution is likely best for the data currently. Annotation experts also point to less confidence in glial subtypes",,type 3 mucosal glia,CL:4047045,0,1,0,1
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664052,Glia Extra-Ganglionic,glial cell,360,GFRA3,"S100B,SOX10,PLP1",unknown,"This label is used for enteric glia captured outside of well-formed myenteric and submucosal ganglia, especially in biopsy-derived datasets. Clusters annotated as Glia Extra-Ganglionic show a broad glial program (NRXN1, S100B, SOX10, PLP1) without clear plexus-restricted signatures and are the dominant glial population in mucosal samples.",,glial cell,CL:0000125,0,0,0,0
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664053,Fibroblastic reticular cells,fibroblastic reticular cell,540,"CCL19,CCL21,TNFSF13B,CXCL13,","PDPN,CXCL13,CCL19",unknown,"Fibroblastic reticular cells are defined by expression of CCL19, CCL21, TNFSF13B and CXCL13 and cluster within lymphoid-enriched regions, consistent with FRCs organizing lymphoid tissue. Multiple clusters labeled as Fibroblastic reticular cells show similar marker profiles across datasets and samples, while a related cluster (Stroma_19_0) expresses RANKL and CXCL14 and may correspond to mesenchymal lymphoid tissue organizer cells. We note that FRC and mLTo-like states have some overlap. we annotate them with the intestinal fibroblastic reticular cell term and note the close relationship to mLTo.",,fibroblastic reticular cell,CL:0009101,2,1,0,3
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664054,Pericytes Angiogenic,angiogenic pericyte,304,HIGD1B,"HIGD1B,KDR,COL4A1",unknown,HIGD1B expression marks pericytes engaged in vascular sprouting and angiogenesis,,angiogenic pericyte,CL:4047012,0,0,1,1
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664055,SMC Outer Muscle Cells,outer smooth muscle cells,988,FOXF2-,"TAGLN,MYH11,ACTG2",unknown,Outer longitudinal layer smooth muscle; distinguished from IMC by low FOXF2. Tissue section should be checked for these to ensure not myofibroblast,,smooth muscle cell,CL:0000192,0,2,0,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664056,vascular endothelial,endothelial cell,304,PECAM1,"PECAM1,CDH5,PLVAP",unknown,"This grouping term is used for generic vascular endothelial cells expressing PECAM1, CDH5 and PLVAP that do not clearly fall into arteriolar, capillary, venular or lymphatic categories. Experts here noted that some clusters labeled vascular endothelial contain AQP1 and fibroblast genes and may represent mixed, transitional, or unclearly clustered states, and that there are doublet clusters involving endothelial cells and S2 fibroblasts. It's just one subcluster here that could be refined further with more evidence",,endothelial cell,CL:0000115,0,0,0,0
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664057,Pericytes Contractile,contractile pericyte,199,"RERGL,NTRK2","NTRK2,RERGL,ACTA2",unknown,"Defined by RERGL and NTRK2, suggesting a pericyte subset with enhanced contractile apparatus.",,pericyte,CL:0000669,1,0,0,1
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664058,Glia Intra-Ganglionic,type I enteric glial cell,408,"APOE,FRZB,RLBP1,CRYM","APOE,RLBP1,CRYM",unknown,"This label corresponds to glia located within enteric ganglia, matching the type I enteric glial cell definition and showing enrichment for APOE, FRZB, RLBP1, CRYM and other neuro-supportive genes. Clusters annotated as Glia Intra-Ganglionic are present across multiple datasets and sit transcriptionally between myenteric and submucosal plexus glia, consistent with the canonical intra-ganglionic location.",,type I enteric glial cell,CL:4047047,0,0,0,0
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664069,junk,NA,182,NA,NA,NA,A Cell Annotation Platform (CAP) term used to identify a row in a “cell by gene” table that appears to contain non-cellular data rather than data from one cell and should therefore be discarded.,NA,NA,NA,2,0,0,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664035,Epithelial,epithelial cell,104,KRT*,EPCAM,unknown,Cells of other lineages are sometimes sorted by the border of broad clusters. These appear to be epithelial cells,,epithelial cell,CL:0000066,1,1,0,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664036,Smooth Muscle Cells (SMC),smooth muscle cell,1840,"DES,TAGLN,MYH11,ACTG2","MYH11,ACTG2,TAGLN",unknown,"Expresses DES, TAGLN, MYH11, ACTG2 consistent with visceral smooth muscle layers of gut wall (muscularis propria/longitudinal and circular layers).",,smooth muscle cell,CL:0000192,1,0,1,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664037,Fibroblasts Lamina propria (S1),intestinal lamina propria fibroblast,13865,"ADAMDEC1,ABCA8,FABP4","PDPN,COL1A1,DCN",unknown,"This label represents superficial lamina propria fibroblasts that are ADAMDEC1+, ABCA8+, FABP4+ and form the dominant fibroblast population across datasets and samples. FOS+ Fibroblast Lamina propria or Ribo(high) Fibroblast Lamina propria, and note an upper-lamina WNT4+ subset (Stroma_0_2) described in the literature, as well as plasma (IGHA+) and myeloid (C1S/C1R+) doublet-contaminated clusters. Taken together, the transcriptional program, high dataset and sample diversity, and literature on WNT4+ villus-oriented fibroblasts support a high-confidence lamina propria fibroblast identity, with FOS and ribosomal signatures reflecting activation state rather than separate cell types.",,intestinal lamina propria fibroblast,CL:4047023,2,0,0,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664038,vascular endothelial Venular,vein endothelial cell,3395,"ACKR1,VWF,SELP,MADCAM1,ADGRG6","ACKR1,VWF,SELP",unknown,"Annotated by ACKR1 predominantly, these separate clearly from other vascular endothelial clusters",,vein endothelial cell,CL:0002543,2,0,0,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664068,doublets,NA,868,NA,NA,NA,A Cell Annotation Platform (CAP) term used to identify a row in a “cell by gene” table that appears to contain combined data from a pair of cells rather than data from one cell and should therefore be discarded.,NA,NA,NA,1,0,1,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664059,vascular endothelial Lymphatic,endothelial cell of lymphatic vessel,1170,"LYVE1,PROX1,MMRN1,MRC1","LYVE1,PROX1,PDPN",unknown,"Lymphatic endothelial cells are here defined by LYVE1, PROX1, MMRN1 and MRC1 and form multiple clusters (Stroma_13_1–13_5) that are present across many datasets, including immune-interacting states.",,endothelial cell of lymphatic vessel,CL:0002138,0,1,2,3
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664060,vascular endothelial Capillary,capillary endothelial cell,397,"CD36,CLDN5,RAMP2,FLT1,IGFBP7","CLDN5,RAMP2,FLT1",unknown,"CD36, CLDN5, RAMP2, FLT1 and IGFBP7, consistent with gut micro capillary networks described in human intestinal single cell atlases.",,capillary endothelial cell,CL:0002144,0,0,0,0
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664064,Plasma Cells,plasma cell,63,"JCHAIN,IG* genes","JCHAIN,IG* genes",unknown,Cells of other lineages are sometimes sorted by the border of broad clusters. These appear to be plasma cells,,plasma cell,CL:0000786,0,2,0,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664065,Fibroblasts Myofibroblasts,myofibroblast cell,135,"ACTA2,TAGLN,DCN","ACTA2,TAGLN,MYH11",unknown,Myofibroblasts and SMCs could be mixed up in some places. I had used HHIF to annotated SMCs but in absense of GREM1/GREM2 it's possible these SMCs are really myofibroblasts.,,myofibroblast cell,CL:0000186,0,2,0,2
stromal,2168,HCA Gut Cell Atlas v1 Stromal Lineage,664066,Glia Muscularis propria/Type IV,type 4 muscularis propria glia,33,"SLC5A7,APOD,KCNS3","SLC5A7,APOD,KCNS3",unknown,"This label captures glia associated with the muscularis propria that show markers such as SLC5A7, APOD and KCNS3 in addition to a core glial program. These clusters are enriched in full-thickness specimens with abundant muscle, and rare or absent in superficial biopsies, consistent with a muscularis propria localization.  The glial subtypes performed poorly in reference mapping benchmarks, so a lesser resolution is likely best for the data currently. Annotation experts also point to less confidence in glial subtypes",,type 4 muscularis propria glia,CL:4047048,0,1,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664609,Plasma IGM,IgM plasma cell,48,IGHM,IGHM,Plasma IgM cell,Same with IGHM,,IgM plasma cell,CL:0000986,0,0,0,0
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664606,Plasma IGG,IgG plasma cell,1727,IGHG genes,IGHG genes,Plasma IgG cell,IGHG,,IgG plasma cell,CL:0000985,1,0,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664605,Plasma Cells,plasma cell,37954,"JCHAIN,IG* genes","JCHAIN,IG* genes",plasma cells,"JCHAIN, MZB1, SSR4, and IG*",,plasma cell,CL:0000786,0,0,1,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664604,B Cycling,cycling B cell,10884,"MKI67,HMGB2,BCL6,TUBA1A","MKI67,HMGB2,TOP2A",cycling B cells,"B cells (HLA, CD79) with clear STMN1 and other cell cycle signal",,cycling B cell,CL:4033068,0,2,0,2
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664603,T GammaDelta,gamma-delta T cell,2950,"TRGC1,TRDC,TRDV1,TRDV2,TRDV3,KLRK1","TRDC,TRGC2,TRDV1","gamma delta T cell,Tgd","TRDC, TRGC2 and SOX4 point to gamma delta T cells, but these do not show the canonical TRGC9, TRDC2 variants.",,gamma-delta T cell,CL:0000798,0,0,0,0
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664602,CD8 Naive,"naive thymus-derived CD8-positive, alpha-beta T cell",7076,"CD8A,LEF1,CCR7","CCR7,LEF1,TCF7","naive CD8 T cell,Tnaive",Proximity to other CD8 clusters and LEF1 expression allowed me to annotate this ~7k cell sub-cluster found amongst other CD4 clusters as CD8 naive.,,"naive thymus-derived CD8-positive, alpha-beta T cell",CL:0000900,0,3,0,3
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664601,CD8 Memory/Exhausted,exhausted T cell,2107,"LAG3,HAVCR2,PDCD1,LAYN,CTLA4,BATF","PDCD1,HAVCR2,TOX","exhausted CD8 T cell,Tex","TOX, CD27, GZM pointed to CD8 memory here, and HAVCR2 pointed to an exhausted signature",,exhausted T cell,CL:0011025,0,1,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664600,B Naive,naive B cell,10025,"IGHM,IGHD","IGHM,IGHD,TCL1A",naive B cell,"MARCKSL1 and IGHD were found in some subclusters found near other follicular B cells. These have high HLA genes, CD79A and B",,naive B cell,CL:0000788,0,2,0,2
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664599,GC B Dark Zone,centroblast,21173,"CXCR4,AICDA,RGS13,NEIL1,BCL7A","CXCR4,AICDA,MKI67","centroblast,B GC/DZ",CXCR4 high with CD83 point to Dark zone,,centroblast,CL:0009112,0,2,0,2
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664598,CD8 T,"CD8-positive, alpha beta T cell",29163,"CD8A,CD8B","CD8A,CD8B,TRAC",CD8 alpha-beta T cell,broadly annotated when CD8 T cells didn't show sufficient markers to resolve finer states,,"CD8-positive, alpha beta T cell",CL:0000625,0,3,0,3
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664597,ILC2,"group 2 innate lymphoid cell, human",1037,"CRTH2,GATA3,PTGDR2,HPGDS,IL1RL1,KRT1","GATA3,IL1RL1,KLRB1",ILC2,"ST2 is found in one subcluster of ~1000 cells among other ILC clusters, pointing to ILC2. 16_0 could also be ILC2 due to ST2 expression",,"group 2 innate lymphoid cell, human",CL:0001081,0,2,1,3
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664596,GC B Germinal Center,germinal center B cell,1479,CXCR4,"BCL6,CD38,CD10","germinal center B,B GC",CXCR4 high b cells with no other evidence of light or dark zone markers. These had high mitochondrial content so may just be of too low quality to define,,germinal center B cell,CL:0000844,0,1,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664595,B Memory,memory B cell,12063,"CD69,SELL,CD27,HLA-DRA","CD27,CD80,CD86","memory B cell,Bmem","CD27, HLA-DRA, SELL, and CD69 separated memory B cells from other B subsets",,memory B cell,CL:0000787,1,0,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664594,ILC3,"group 3 innate lymphoid cell, human",4496,"KRT86,RORC,IL7R","RORC,IL23R,IL22",ILC3,"KRT86, RORC, IL7R and IL23R point to strong ILC3 signature, while some nearby subclusters show a more ILC or ILC2 tilt",,"group 3 innate lymphoid cell, human",CL:0001078,0,1,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664593,GC B Light Zone,centrocyte,16110,"BANK1,TNFRSF13C,CD83","CD83,CXCR5,BCL6","centrocyte,B GC/LZ","BANK1 is found in all subsets annotated as LZ, TNFRSF13C supports in some",,centrocyte,CL:0009111,0,1,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664592,CD4 Tfh,T follicular helper cell,18502,"BCL6,CXCR5,CD40LG,CXCL13","BCL6,CXCR5,PDCD1","Tfh,follicular helper CD4 T cell",CD40LG and ICOS are used to annotate Tfh in this data. These are also found in larger clusters of CD4 naive cells,,T follicular helper cell,CL:0002038,3,0,2,5
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664591,ILC NKs,natural killer cell,4530,"GNLY,EOMES,PRF1,NKG7","NKG7,GNLY,PRF1","NK cell,NKs,NK","This was a misspelling, should be ILC NK Cells",,natural killer cell,CL:0000623,0,0,0,0
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664590,CD4 Th1,T-helper 1 cell,22187,"CD4,TBX21,IFNG,TNF","TBX21,IFNG,CXCR3","Th1 CD4 T cell,Th1",Th1 are annotated when CD4 cells show IFNG or TNF program signatures and especially IL7R. Thelper cytotoxic dual signatures point then to Th1,,T-helper 1 cell,CL:0000545,0,3,0,3
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664589,CD4 Treg,regulatory T cell,9712,"IL2RA,FOXP3,CTLA4,PDCD1,TIGIT,ICOS","FOXP3,IL2RA,CTLA4","Treg,regulatory CD4 T cell","Coexpress FOXP3 and IL2RA (CD25), FOXP3 expression quickly identifies clusters of T-regs",,regulatory T cell,CL:0000815,3,0,1,4
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664588,Plasma IGA,IgA plasma cell,31898,IGHA genes,IGHA genes,Plasma IgA cell,These are easily distinguished from other plasma subsets via IGHA variants,,IgA plasma cell,CL:0000987,1,0,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664587,ILC NK Cells,natural killer cell,4645,"GNLY,EOMES,PRF1,NKG7","NKG7,GNLY,PRF1","NK cell,ILC NK",Marker lists with high NKG7 and GNLY point to NK subsets,,natural killer cell,CL:0000623,1,0,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664586,B Marginal zone (MZB),marginal B cell of lymph node,23784,"FCRL1,CD1C","CD1C,FCRL1,CR2","MZB,marginal zone B cell","FCRL1, CD1C with HLA, CD79 signatures point to potential MZB cells",,marginal B cell of lymph node,CL:0009060,0,2,0,2
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664585,CD4 Memory,"CD4-positive, alpha-beta memory T cell",11147,"IL32,MAF","CD45RO,CCR7,IL7R","CD4 memory T cells,CD4 Tmem","When CD4 celltypes show no clear evidence of Treg, Naive, or Th states, but contain a clear interleukin, MAF, and differentiated signal, we annotate them as CD4 Memory",,"CD4-positive, alpha-beta memory T cell",CL:0000897,0,2,0,2
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664584,B Atypical,B cell,3610,"FCRL4,ITGAX","FCRL4,FCRL5,ITGAX",atypical B cells,"FCRL4 and FCRL5 point to atypical B cells, but ITGAX was not found here",,B cell,CL:0000236,0,0,0,0
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664583,T Cycling,cycling T cell,1999,"MKI67,STMN1,TOP2A","MKI67,STMN1,TOP2A",proliferating T cell,"Cycling T cells were annotated based on STMN1, MKI67 and other cell cycle genes alongside a T lineage background, including TRAC",,cycling T cell,CL:4033069,1,0,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664582,CD8 IEL,intraepithelial lymphocyte,41143,"ITGAE,CD160,KLRC2,KIR2DL4,NCR1,NCR2,NCR3,CD7,CD244","ITGAE,CD69,CD160",IEL,"A large cluster of ITGAE high, CD160 exists in the atlas, pointing to resident status. contextualization with radial tissue terms could increase evidence",,intraepithelial lymphocyte,CL:0002496,0,1,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664581,CD4 Naive,Naive T cell,70210,"CD4,CCR7,LEF1,IL7R,KLF2,S1PR5,SELL","CCR7,IL7R,SELL","naive CD4 T cell,CD4 Tnaive","CD4 Naive T cells are defined as CCR7, IL7R, LEF1 and SELL expressing signatures",,Naive T cell,CL:0000898,0,3,0,3
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664580,CD8 TRM,Tc17 cell,63571,"CD8A,CD8B,ITGAE,CD69,ITGA1,RORA","ITGAE,CD69,ITGA1","TRM,tissue resident memory CD8 T cell","ITGAE and RORA point to granzyme positive t resident memory populations, and clusters of these tend to be more unique to certain sections of the gut, driving down the number of datasets they are found in (dataset diversity metric)",,Tc17 cell,CL:0002128,0,2,0,2
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664579,CD8 Circulating Effector/Memory,"effector memory CD8-positive, alpha-beta T cell",22736,"FGFBP2,CX3CR1,GZMH,GZMK","CX3CR1,GZMH,KLRG1","effector memory CD8 T cell (circulating),Teff/mem(circulating)","KLRG1, FGFBP2, CX3CR1, GZMH expressing set of clusters found across tissue sections",,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,0,3,0,3
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664578,T NKT,mature NK T cell,10596,"FCER1G,HOPX,TRAV24","TRAV24,ZBTB16,FCER1G",NKT cell,"ZBTB16 expressing, CD7, JUND, NKG7, these could be NK T cells - but not sure of TCR expression",,mature NK T cell,CL:0000814,0,0,0,0
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664577,CD8 Effector/Memory,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",31040,"IL2,GZMA,GZMK,GZMB,KLRG1","GZMB,PRF1,KLRG1","effector memory CD8 T cell,Teff/mem","No CX3CR1 but IL2, granzymes, and CD8 signatures are found abundantly in single cell data of the gut",,"effector memory CD8-positive, alpha-beta T cell, terminally differentiated",CL:0001062,0,0,0,0
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664576,CD4 Th17,T-helper 17 cell,39328,"RORC,IL17A,IL22,IL21,CSF2,IL23R","RORC,IL17A,CCR6","Th17 CD4 T cell,Th17","Since both ILC3s and Th17 express RORC and IL7R, these can be difficult to separate. Th17 were annotated when larger clusters of naive T cells showed a clear IL7R and RORC expressing subcluster",,T-helper 17 cell,CL:0000899,3,0,0,3
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664608,T MAIT,mucosal-associated invariant T cell,131,"LGALS3,ZBTB16,TRAV1-2,TRAJ33","TRAV1-2,KLRB1,ZBTB16",MAIT cell,This small subcluster uniquely clearly expressed the TRAV1-2 MAIT TCR marker,,mucosal-associated invariant T cell,CL:0000940,2,0,0,2
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664611,junk,NA,721,NA,NA,NA,A Cell Annotation Platform (CAP) term used to identify a row in a “cell by gene” table that appears to contain non-cellular data rather than data from one cell and should therefore be discarded.,NA,NA,NA,1,0,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664607,ILC1,ILC1,1777,IFNG,"TBX21,IFNG,CXCR3",group 1 innate lymphoid cell,General ILC signature with IFNG expression,,ILC1,CL:0001068,0,1,0,1
lymphoid,2169,HCA Gut Cell Atlas v1 Lymphoid Lineage,664610,doublets,NA,7679,NA,NA,NA,A Cell Annotation Platform (CAP) term used to identify a row in a “cell by gene” table that appears to contain combined data from a pair of cells rather than data from one cell and should therefore be discarded.,NA,NA,NA,1,0,0,1
