taxonomy_line,hgca_celltype_v1,level_depth,marker_source,cap_label_matched,metadata_csv_line,markers_final
151,Perivascular Resident Macrophages,4,metadata csv (line 82),,82,"LYVE1, FOLR2"
152,Follicle Associated Resident Macrophages,4,CAP feedback + metadata csv (line 44),Macrophages M2,44,"CD209, CD163L1, FOLR2, MRC1, CD206, PLA2G2D, PTGDS, MMP9"
153,M1 Macrophages,3,existing taxonomy Markers,,,"TNF, CLL2, CLL3, IL1B"
154,Dendritic Cells (DC),2,existing taxonomy Markers,,,"CCR7, CCL22, LAMP3, IDO1, ITGAX, CD207, FSCN1"
155,migDC,3,CAP feedback + metadata csv (line 71),DC migDC,71,"LAMP3, IDO1, CCR7, CD40, CCL5"
156,cDC1,3,CAP feedback + metadata csv (line 25),DC cDC1,25,"CLEC9A, XCR1, DNASE1L3, SHTN1, BATF3"
157,cDC2,3,CAP feedback + metadata csv (line 26),DC cDC2,26,"CD1C, TCTN3, FCER1A, CLEC10A, SPI1, SIRPA"
158,Tolerogenic cDC2,4,metadata csv (line 92),,92,"PRDM16, RORC"
159,pDC,3,metadata csv (line 81),,81,"LILRA4, PLD4, IL3RA, CLIC3, CLEC4C"
160,"Monocyte Derived Dendritic Cells
(MO DC)",3,CAP feedback + metadata csv (line 72),"DC Monocyte derived dendritic cell
(MO DC)",72,"MSR1, NPR2, CD1A, CCR2"
161,Granulocytes,2,CAP feedback,Granulocytes,,"CLC, IL4, CPA3, FCGR2B, FCGR3B, S100A12"
162,Mast Cells,3,CAP feedback + metadata csv (line 63),Granulocytes Mast Cells,63,"CPA3, TPSB2, TPSAB1, CTSG, HPGDS, KIT"
163,Neutrophils,3,metadata csv (line 76),,76,"G0S2, CXCR2, S100A8, S100A9, PROK2, IFIT2, CCL3L1"
164,Basophils,3,inherited from ancestor 'Granulocytes',,,"CLC, IL4, CPA3, FCGR2B, FCGR3B, S100A12"
165,Eosinophils,3,metadata csv (line 41),,41,"CLC, IL4"
166,Megakaryocytes,2,existing taxonomy Markers,,,"GP9, LCN2"
167,Red Blood Cells (RBC),2,existing taxonomy Markers,,,"HBB, HBA"
168,Neurons,1,existing taxonomy Markers,,,"RET, SNAP25, SLC17A7, RBFOX3, ENO2, SLC12A5"
169,Excitatory Neurons,2,inherited from ancestor 'Neurons',,,"RET, SNAP25, SLC17A7, RBFOX3, ENO2, SLC12A5"
170,Inhibitory Neurons,2,inherited from ancestor 'Neurons',,,"RET, SNAP25, SLC17A7, RBFOX3, ENO2, SLC12A5"
171,Neuroendocrine Neurons,2,inherited from ancestor 'Neurons',,,"RET, SNAP25, SLC17A7, RBFOX3, ENO2, SLC12A5"
